k	smorfs
1	5979
2	25393
3	37975
4	39079
5	128550
6	136332
7	212294
8	274965
9	472111
10	472139
11	511360
12	622492
13	1140134
14	1141720
15	1325165
16	1409723
17	1464963
18	1569938
19	1913173
20	2037701
21	2050373
22	2647850
23	2801613
24	2804212
25	3128333
26	3130195
27	3163848
28	3198495
29	3225215
30	3239947
31	3264357
32	3290812
33	3331634
34	3336092
35	4422852
36	4730130
37	4752438
38	4892976
39	4895081
40	4895177
41	4957887
42	4964730
43	4968701
44	5204128
45	5229653
46	5234606
47	5249562
48	5523710
49	5839888
50	5840399
51	5873008
52	5875480
53	5879147
54	6331975
55	6332030
56	6335262
57	6351838
58	7370251
59	7552176
60	7639479
61	7642383
62	7684345
63	7687028
64	7701656
65	8074750
66	8074860
67	8086169
68	8178783
69	8214308
70	8215696
71	8216276
72	8219050
73	8381132
74	8455463
75	8463875
76	8630043
77	9374910
78	9434423
79	9437863
80	9468122
81	9595221
82	9794735
83	9826079
84	10316803
85	10352815
86	11047371
87	11353545
88	11382657
89	11448035
90	11591525
91	11616224
92	11827537
93	11832332
94	11872397
95	11919417
96	11922139
97	11961162
98	12077248
99	12086855
100	12113074
101	12148577
102	12341923
103	12344460
104	12364938
105	12621655
106	12751731
107	12762946
108	13123604
109	13126919
110	13142880
111	13167618
112	13422680
113	13617279
114	13835762
115	13871190
116	14071625
117	14523783
118	14536898
119	14540655
120	14595721
121	14650617
122	14887431
123	14912509
124	14965047
125	15001508
126	15001544
127	15003837
128	15192693
129	15233647
130	15233770
131	15242023
132	15253128
133	15408020
134	15502805
135	15551834
136	15625526
137	15672427
138	15738552
139	15849270
140	15880279
141	15910846
142	15926506
143	15930281
144	16539973
145	16569568
146	16577642
147	16635512
148	16645557
149	16804125
150	16954899
151	17006215
152	17009119
153	17072231
154	17145952
155	17695124
156	17725282
157	17732974
158	17750716
159	17835244
160	17844379
161	17923734
162	17932539
163	17947398
164	18076779
165	18080876
166	18136872
167	18171902
168	18179442
169	18192912
170	18262209
171	18618031
172	18935920
173	19225413
174	19279402
175	20242995
176	20642181
177	20723135
178	20725232
179	20966479
180	20967530
181	20967633
182	21222455
183	21269536
184	21282047
185	21311344
186	21328940
187	21706478
188	21777970
189	22202079
190	22212965
191	22213937
192	22257582
193	22270014
194	22287271
195	22372655
196	23745251
197	23765870
198	23788091
199	24200797
200	24508220
201	24508452
202	24510488
203	24528926
204	24668326
205	24713564
206	25261090
207	25280410
208	25496218
209	25496299
210	25511344
211	25526220
212	25774989
213	25787470
214	25787541
215	26421484
216	26427443
217	26826734
218	27024918
219	27292324
220	28274118
221	28274878
222	28583820
223	28586384
224	28587220
225	28609858
226	28610220
227	28642721
228	28690760
229	28692366
230	28716086
231	29100025
232	29206071
233	29251350
234	29253804
235	29381431
236	29420660
237	29928908
238	29936909
239	30479084
240	30683720
241	30700417
242	30773974
243	30796862
244	30819679
245	30836494
246	30873157
247	30910597
248	30965669
249	30970171
250	30976848
251	30994852
252	31012964
253	31048532
254	31631362
255	32011614
256	32064757
257	32418966
258	32420595
259	32424032
260	32433069
261	32492541
262	32554706
263	32580455
264	32823621
265	33151345
266	33184608
267	33271344
268	33271353
269	33705817
270	33710880
271	33736302
272	33737328
273	34038726
274	34095627
275	34338140
276	34420719
277	34730060
278	34751859
279	34754266
280	34889978
281	34923243
282	35399231
283	35461336
284	35525326
285	35600905
286	35621636
287	35642422
288	36029519
289	36067443
290	36112913
291	36636115
292	36641047
293	37011134
294	37068788
295	37082086
296	37093976
297	37110329
298	37446077
299	37446133
300	37459705
301	37734764
302	37742312
303	37799432
304	37801088
305	38251654
306	38275264
307	38806976
308	38807718
309	39037568
310	39135593
311	39318467
312	39385005
313	39773874
314	39780133
315	40068972
316	40075578
317	40079073
318	40228256
319	40235894
320	40469915
321	40494747
322	40498107
323	41379307
324	41383489
325	41445525
326	41549436
327	41587069
328	41619408
329	41628545
330	41750715
331	42215713
332	42242254
333	42283076
334	42823503
335	42837037
336	42837689
337	42963301
338	43044540
339	43046855
340	43117413
341	43198773
342	43220357
343	43243261
344	43738900
345	43787853
346	44688610
347	44919355
348	44919998
349	45144572
350	45176866
351	45202980
352	45216282
353	45216385
354	46183544
355	46199717
356	46217091
357	46221119
358	46246387
359	46265310
360	46283757
361	46285013
362	46287648
363	46329985
364	46428729
365	47018317
366	47042104
367	47504417
368	47505252
369	47517317
370	47795428
371	47795498
372	47797644
373	47805133
374	47875088
375	48122976
376	48124591
377	48127868
378	48146314
379	48155273
380	48198913
381	48299116
382	48448896
383	48628079
384	48680492
385	49276357
386	49292166
387	49311460
388	49320799
389	49610063
390	49644787
391	49665208
392	49669673
393	49672013
394	49672103
395	49784022
396	49799014
397	50368936
398	50384983
399	50386058
400	50399126
401	50400115
402	50452612
403	50462567
404	50804394
405	50813404
406	50854832
407	50920493
408	50927070
409	50991874
410	51304930
411	51900672
412	52010802
413	52117330
414	52189307
415	52244706
416	52271863
417	52305312
418	52345935
419	52367242
420	52397525
421	52452614
422	52559493
423	52605344
424	52617421
425	52622417
426	52666918
427	52723065
428	52755722
429	52759629
430	52817456
431	52866277
432	52907720
433	52924744
434	53025338
435	53052218
436	53189472
437	53252567
438	53270118
439	53371041
440	53390590
441	53403573
442	53518760
443	53570218
444	53774252
445	54240439
446	54290512
447	54305350
448	54308739
449	54311954
450	54330717
451	54332238
452	54368514
453	54431111
454	54493799
455	54528381
456	54532398
457	54637565
458	54984838
459	55103489
460	55112965
461	55121223
462	55167388
463	55486642
464	55489232
465	55653751
466	55723699
467	55914104
468	55942911
469	55943464
470	56086683
471	56163256
472	56717856
473	56900562
474	56902445
475	56953421
476	57491968
477	57514324
478	57562074
479	58053340
480	58540580
481	58606519
482	59327149
483	59422639
484	59677457
485	59702367
486	59714838
487	59771207
488	59771461
489	59901171
490	59969177
491	60005832
492	60158790
493	60174189
494	60189906
495	60197505
496	60221861
497	60272557
498	60272578
499	60277728
500	60370604
501	60375367
502	60379094
503	60393191
504	60453671
505	60472655
506	60510001
507	60511380
508	60529545
509	60551061
510	60571170
511	60576868
512	60582384
513	61095078
514	61096859
515	61118009
516	61232359
517	61284504
518	61317603
519	61437819
520	61505904
521	61917009
522	61919123
523	62098628
524	62417128
525	62437792
526	62442886
527	62661773
528	62696409
529	62696425
530	62727611
531	62823749
532	62873306
533	62924095
534	62971413
535	63080403
536	63098822
537	63123967
538	63178808
539	63182274
540	63404784
541	63449203
542	63773460
543	63779987
544	63792089
545	63797591
546	63875492
547	63879266
548	64051822
549	64052596
550	64101756
551	64111233
552	64114873
553	64121593
554	64128358
555	64135620
556	64138024
557	64138042
558	64293858
559	64304281
560	64333139
561	64384456
562	64394821
563	64470335
564	64478604
565	64506299
566	64508620
567	64516259
568	64658549
569	64691407
570	64707871
571	64803911
572	64811129
573	64824706
574	65166083
575	65483184
576	65832045
577	65867589
578	65893666
579	65924355
580	65971761
581	65993414
582	66410509
583	66413508
584	66463937
585	66801419
586	66911752
587	66913533
588	66926054
589	66982908
590	66985348
591	67102854
592	67240458
593	67243029
594	67246110
595	67251281
596	67252420
597	67258708
598	67320670
599	67322161
600	67328816
601	67497575
602	67518826
603	67531869
604	67563694
605	67691227
606	67711853
607	67973591
608	67983314
609	68276341
610	68446681
611	68479206
612	68482287
613	68483001
614	68512683
615	68525105
616	68540407
617	68573663
618	68574538
619	68782393
620	68784484
621	68807161
622	68828158
623	68832343
624	68836209
625	69295529
626	69321901
627	69328315
628	69414681
629	69415183
630	69567654
631	69598133
632	69607567
633	69667887
634	69669555
635	69814322
636	69856344
637	69921500
638	69949142
639	70047771
640	70355258
641	71000980
642	71035022
643	71043650
644	71064477
645	71065002
646	71105382
647	71133820
648	71153476
649	71158785
650	71159416
651	71185318
652	71316296
653	71350451
654	71391260
655	71394809
656	71395162
657	71396535
658	71413232
659	71566208
660	71586945
661	71633375
662	71720336
663	71993934
664	71994037
665	72018969
666	72025176
667	72027094
668	72175717
669	72192465
670	72205341
671	72236694
672	72243090
673	72305436
674	72333161
675	72385288
676	72399254
677	72642879
678	72662161
679	72791227
680	72821273
681	73360126
682	73740043
683	73773194
684	73808567
685	73812175
686	73817975
687	73858787
688	74192768
689	74237961
690	74239442
691	74354172
692	74354176
693	74372614
694	74372804
695	74841453
696	74891929
697	74899860
698	74928391
699	75043413
700	75320580
701	75461492
702	75785897
703	75925900
704	76035754
705	76038989
706	76045203
707	76195525
708	76197395
709	76199598
710	76225002
711	76256617
712	76260912
713	76270521
714	76294364
715	76330292
716	76333053
717	76336960
718	76339019
719	76376496
720	76410991
721	76412735
722	76429972
723	76441466
724	76493946
725	76613665
726	76638909
727	76643219
728	76645045
729	76654007
730	76676697
731	76755557
732	76865727
733	76870779
734	76874943
735	76895837
736	76896792
737	76917828
738	77169066
739	77175788
740	77177188
741	77183729
742	77331245
743	77361154
744	77368295
745	77825812
746	77859018
747	77895366
748	77896876
749	77942117
750	77965405
751	78072641
752	78074167
753	78134964
754	78279978
755	78284764
756	78291708
757	78321690
758	78322621
759	78347505
760	78372863
761	78873550
762	79012347
763	79023941
764	79053947
765	79063302
766	79079027
767	79089110
768	79091689
769	79091704
770	79161150
771	79178775
772	79195143
773	79475642
774	79491716
775	79495181
776	79507475
777	79512239
778	79522513
779	79539638
780	79541378
781	79542330
782	79565136
783	79841292
784	80088931
785	80143970
786	80264064
787	80268105
788	80287962
789	80334999
790	80355041
791	80359092
792	80361574
793	80363084
794	80363137
795	80591320
796	80591321
797	80617803
798	80627353
799	80629748
800	80660144
801	80679198
802	80726728
803	80727967
804	80738879
805	80822081
806	80835166
807	80849486
808	80948228
809	80959184
810	80977177
811	80977501
812	80997095
813	81030611
814	81481476
815	81530058
816	81607321
817	81668058
818	81668525
819	81771946
820	82026061
821	82055557
822	82284823
823	82314477
824	82784060
825	83165089
826	83179773
827	83189363
828	83215485
829	83249268
830	83250549
831	83270026
832	83293688
833	83331591
834	83361398
835	83363385
836	83658225
837	83673701
838	83763206
839	83836682
840	83925712
841	84073272
842	84350320
843	84377127
844	84397043
845	84400556
846	84401172
847	84419679
848	84715942
849	84855763
850	84872013
851	85350242
852	85701290
853	85835376
854	85928943
855	85931083
856	86414682
857	86480841
858	86486624
859	86518570
860	86548302
861	86561630
862	86567883
863	86605349
864	86643825
865	86671401
866	86683664
867	86687086
868	86690418
869	86691925
870	86703176
871	86743424
872	86782817
873	86807226
874	86816271
875	86829187
876	86931307
877	87257385
878	87404692
879	87605307
880	87637079
881	87637596
882	87641685
883	87655703
884	87659314
885	87713085
886	87713186
887	87749250
888	87764205
889	88077922
890	88259949
891	88582273
892	88585983
893	88608768
894	88731064
895	88732342
896	88742509
897	89151109
898	89399147
899	89607133
900	89610127
901	89633021
902	89657327
903	89811988
904	89880681
905	90188536
906	90218162
907	90223018
908	90246228
909	90282999
910	90301614
911	90343508
912	90356188
913	90358090
914	90491586
915	90511180
916	90651279
917	90698573
918	90712842
919	90712873
920	90715194
921	90739215
922	90761865
923	90763435
924	90806522
925	90985528
926	91085877
927	91092339
928	91110043
929	91160980
930	91203878
931	91219642
932	91220867
933	91664302
934	91824327
935	91857812
936	91865179
937	91871354
938	91878237
939	91910448
940	91911324
941	91946842
942	92045184
943	92073528
944	92230465
945	92239302
946	92277147
947	92278001
948	92281602
949	92581269
950	92588902
951	92604105
952	92607826
953	92612532
954	92946393
955	92982502
956	92989529
957	92993006
958	93014269
959	93017949
960	93083768
961	93186363
962	93284389
963	93710084
964	94091903
965	94144921
966	94165530
967	94175151
968	94197458
969	94228930
970	94262754
971	94296829
972	94302412
973	94335099
974	94340597
975	94657655
976	94659879
977	94785902
978	94835993
979	94837303
980	94884662
981	94921724
982	94924718
983	94949767
984	94950359
985	95097787
986	95144870
987	95221582
988	95233889
989	95244057
990	95249207
991	95420569
992	95492237
993	95508625
994	95543256
995	95591553
996	95594478
997	95605319
998	95924126
999	95957445
1000	96016060
1001	96075950
1002	96685659
1003	96694939
1004	96703280
1005	96733438
1006	96871199
1007	96877911
1008	96913429
1009	97266640
1010	97270379
1011	97368311
1012	97465044
1013	97466336
1014	97495104
1015	97507504
1016	97529635
1017	97978401
1018	98483661
1019	98488329
1020	99002157
1021	99132017
1022	99145924
1023	99243389
1024	99253506
1025	99293180
1026	99369523
1027	99376857
1028	99398652
1029	99480422
1030	99500692
1031	99554787
1032	99642921
1033	99652362
1034	99652423
1035	99652490
1036	99685205
1037	99694758
1038	99730929
1039	99743971
1040	99766389
1041	99853140
1042	99887998
1043	99890852
1044	99893554
1045	99941372
1046	99955686
1047	99977516
1048	99987898
1049	100006908
1050	100006983
1051	100363012
1052	100397050
1053	100425247
1054	100564460
1055	100576633
1056	100576657
1057	100651651
1058	100663918
1059	100784362
1060	101018819
1061	101018919
1062	101101067
1063	101173868
1064	101241184
1065	101247919
1066	101300834
1067	101307588
1068	101398444
1069	101413905
1070	102031564
1071	102462469
1072	102474056
1073	102529607
1074	103031413
1075	103057317
1076	103065146
1077	103073316
1078	103091781
1079	103093537
1080	103098137
1081	103111390
1082	103112870
1083	103169994
1084	103188060
1085	103357406
1086	103398815
1087	103400938
1088	103403582
1089	103420870
1090	103428491
1091	103458913
1092	103997872
1093	104012295
1094	104016172
1095	104062118
1096	104083949
1097	104463691
1098	104803535
1099	104831629
1100	104869662
1101	104909767
1102	105236819
1103	105249712
1104	105323086
1105	105332256
1106	105332374
1107	105340151
1108	105358831
1109	105651236
1110	105956071
1111	105998794
1112	106168105
1113	106183810
1114	106356336
1115	106357736
1116	106359706
1117	106366458
1118	106369844
1119	106525302
1120	106557105
1121	106701062
1122	106763817
1123	107158501
1124	107194917
1125	107201367
1126	107512133
1127	107601304
1128	107654713
1129	107666586
1130	107731226
1131	107763307
1132	108024143
1133	108028326
1134	108035894
1135	108115614
1136	108120118
1137	108124923
1138	108125636
1139	108141407
1140	108333315
1141	108337120
1142	108349573
1143	108388897
1144	108422595
1145	108423537
1146	108427878
1147	108460389
1148	108488735
1149	108881690
1150	108923457
1151	108940476
1152	108940490
1153	108950720
1154	108952976
1155	108973541
1156	108989455
1157	109043900
1158	109126874
1159	109128231
1160	109175911
1161	109298292
1162	109470825
1163	109489627
1164	109494394
1165	109596588
1166	109631866
1167	109634192
1168	109659254
1169	109659305
1170	109666702
1171	109667709
1172	109724372
1173	109726490
1174	109733689
1175	109756865
1176	109778434
1177	110077818
1178	110097924
1179	110435695
1180	110453537
1181	110583938
1182	110594637
1183	110650870
1184	110913135
1185	111725672
1186	111730304
1187	111748194
1188	111749505
1189	111773521
1190	112082595
1191	112087314
1192	112101079
1193	112107023
1194	112108696
1195	112370050
1196	112370107
1197	112370136
1198	112388110
1199	112463202
1200	112463690
1201	112464075
1202	112687994
1203	112689704
1204	112734413
1205	113152294
1206	113176838
1207	113179671
1208	113548464
1209	113552303
1210	114074198
1211	114102049
1212	114102570
1213	114284448
1214	114320225
1215	114331672
1216	114359496
1217	114614310
1218	114646042
1219	114647972
1220	114760255
1221	114943966
1222	114986236
1223	115023815
1224	115107849
1225	115112595
1226	115149229
1227	115152951
1228	115157129
1229	115409133
1230	115414840
1231	115688824
1232	115860847
1233	115861633
1234	115986203
1235	115990072
1236	115997510
1237	116601658
1238	116721539
1239	116723589
1240	116800915
1241	116820021
1242	116825394
1243	117175439
1244	117175450
1245	117178385
1246	117473524
1247	117473583
1248	117730114
1249	117733466
1250	118062346
1251	118129700
1252	118150843
1253	118241670
1254	118281396
1255	118416384
1256	118428188
1257	118467530
1258	118471148
1259	118563831
1260	118565757
1261	118606179
1262	118613701
1263	119085214
1264	119098748
1265	119296605
1266	119345799
1267	119348288
1268	119352301
1269	119477315
1270	119478237
1271	119499509
1272	119622221
1273	119622669
1274	119662176
1275	119696825
1276	119713819
1277	119714674
1278	119731048
1279	119782472
1280	119799539
1281	119815325
1282	119819314
1283	119872014
1284	119945803
1285	119947478
1286	119952021
1287	119997464
1288	120022918
1289	120138054
1290	120242317
1291	120245178
1292	120390874
1293	120413199
1294	120480371
1295	120500995
1296	120501982
1297	120700124
1298	120716490
1299	121016124
1300	121024299
1301	121041559
1302	121159694
1303	121161226
1304	121174823
1305	121178297
1306	121182237
1307	121186409
1308	121226919
1309	121243479
1310	121269070
1311	121354451
1312	121476780
1313	121525758
1314	121528348
1315	121533182
1316	121567347
1317	121569301
1318	121591637
1319	121592260
1320	121926494
1321	122053041
