k	smorfs
1	214
2	9254
3	53379
4	251120
5	251261
6	251440
7	263483
8	810691
9	918241
10	961508
11	1051384
12	1092003
13	1099720
14	1099730
15	1129741
16	1146496
17	1147114
18	1176546
19	1193849
20	1216868
21	1216941
22	1359180
23	1359628
24	1359766
25	1400698
26	1402204
27	1421352
28	1438937
29	1466208
30	1466249
31	1502019
32	1541198
33	1541267
34	1541352
35	1613895
36	1650191
37	2166945
38	2234533
39	2620114
40	2668514
41	2679986
42	2680027
43	2689991
44	2690134
45	2771836
46	2818126
47	2818557
48	2819234
49	2862946
50	3108652
51	3139254
52	3410452
53	3458899
54	3483176
55	3483310
56	3496913
57	3497837
58	3587736
59	3590867
60	3662832
61	3663053
62	3666571
63	3680806
64	3705330
65	3707567
66	3735910
67	3738832
68	3738945
69	3739038
70	3752618
71	3752652
72	3844747
73	4208299
74	4212606
75	4212735
76	4212868
77	4213511
78	4251146
79	4454734
80	4454767
81	4454866
82	4924363
83	5043890
84	5058607
85	5058670
86	5101203
87	5131993
88	5194519
89	5200094
90	5200257
91	5230392
92	5443971
93	5454191
94	5491788
95	5491805
96	5491875
97	5511801
98	5522235
99	5721381
100	5721525
101	5850366
102	5850631
103	5850668
104	5880227
105	5880304
106	5880326
107	5915120
108	5915251
109	6031048
110	6031757
111	6049851
112	6171186
113	6214267
114	6406174
115	6449674
116	6479613
117	6479709
118	6509688
119	6509762
120	6524878
121	6525383
122	6549958
123	6832247
124	6832480
125	6842252
126	6842284
127	6876261
128	6879071
129	6968999
130	6971032
131	6971261
132	6977627
133	7072732
134	7072757
135	7084701
136	7084739
137	7085600
138	7205844
139	7208066
140	7208085
141	7208130
142	7240831
143	7240960
144	7241032
145	7271006
146	7275066
147	7301963
148	7308114
149	7744698
150	7744719
151	7760522
152	7760582
153	7761438
154	7762973
155	7764244
156	7799653
157	7863559
158	7863643
159	8323970
160	8380901
161	8710014
162	8738759
163	8738809
164	8738896
165	8755666
166	8767101
167	8949464
168	8956982
169	8957074
170	8957729
171	9003587
172	9138502
173	9156272
174	9417669
175	9419648
176	9609507
177	9609615
178	9609658
179	9678431
180	9679375
181	9820404
182	9872899
183	9872974
184	9879991
185	9885203
186	9885231
187	9905035
188	9974703
189	10047910
190	10093035
191	10093320
192	10199434
193	10218080
194	10338085
195	10376668
196	10376790
197	10397195
198	10462256
199	10462274
200	10483315
201	10631160
202	10632141
203	10632241
204	10632300
205	10632395
206	10713390
207	10741508
208	10752457
209	10752520
210	11063577
211	11063637
212	11069831
213	11069870
214	11091086
215	11153674
216	11178068
217	11190223
218	11190282
219	11284833
220	11441256
221	11441395
222	11501969
223	11501977
224	11502187
225	11529279
226	11597023
227	11616329
228	11616698
229	11749307
230	11749409
231	11787105
232	11826915
233	11872063
234	11918586
235	11919503
236	12160214
237	12180008
238	12182909
239	12182959
240	12187117
241	12445116
242	12497837
243	12513441
244	12513451
245	12582166
246	12609157
247	12648069
248	12671450
249	12671508
250	12671605
251	12681146
252	12681176
253	12681206
254	12713254
255	12743278
256	12768675
257	12780269
258	12783004
259	12938417
260	12961590
261	12973478
262	13028603
263	13040131
264	13040177
265	13088698
266	13108141
267	13123797
268	13252403
269	13281558
270	13377283
271	13393427
272	13444545
273	13466943
274	13535640
275	13535846
276	13553815
277	13575505
278	13576175
279	13637160
280	13776545
281	13777750
282	13803778
283	13820917
284	13897341
285	13897382
286	13898671
287	13898682
288	13903268
289	13963188
290	14007535
291	14007564
292	14055854
293	14056573
294	14059737
295	14060716
296	14065786
297	14065841
298	14117744
299	14118246
300	14120289
301	14170055
302	14276091
303	14668452
304	14752964
305	14759075
306	14852947
307	14960494
308	14961536
309	15072324
310	15072573
311	15106568
312	15108931
313	15112106
314	15112112
315	15151020
316	15197091
317	15211355
318	15287617
319	15287657
320	15293926
321	15342860
322	15347518
323	15407543
324	15407581
325	15417786
326	15926781
327	15926819
328	15978848
329	15978890
330	16017764
331	16040416
332	16040482
333	16138296
334	16157669
335	16157680
336	16202055
337	16284531
338	16286563
339	16561056
340	16565162
341	16823228
342	16841873
343	17057125
344	17081817
345	17101395
346	17101418
347	17104251
348	17138328
349	17141464
350	17159948
351	17160028
352	17195974
353	17212373
354	17231065
355	17236450
356	17241328
357	17268427
358	17550609
359	17550643
360	17582896
361	17632651
362	17632672
363	17632736
364	17632807
365	17632815
366	17633591
367	17692331
368	17714299
369	17725667
370	17725709
371	17725822
372	17730356
373	17730485
374	17771491
375	17771517
376	17773389
377	17773462
378	17875937
379	17914436
380	17914478
381	18219294
382	18231341
383	18235824
384	18276050
385	18304387
386	18423037
387	18429109
388	18429143
389	18461640
390	18876763
391	18952217
392	18953062
393	18957150
394	19037502
395	19038431
396	19061958
397	19415372
398	19415395
399	19422928
400	19440961
401	19440987
402	19490640
403	19503289
404	19503299
405	19503479
406	19520295
407	19538052
408	19753814
409	19789126
410	19790511
411	19799139
412	19859556
413	19859592
414	19859694
415	19863121
416	19863134
417	19863184
418	19925677
419	20038675
420	20038723
421	20070051
422	20081500
423	20082001
424	20082074
425	20111559
426	20257241
427	20261720
428	20266472
429	20267669
430	20294900
431	20300273
432	20336455
433	20404932
434	20406597
