k	smorfs
1	218
2	548
3	92497
4	99716
5	104037
6	220173
7	250831
8	254093
9	261032
10	277106
11	319949
12	323106
13	332432
14	350907
15	362120
16	366591
17	375233
18	376084
19	394607
20	402646
21	495710
22	540817
23	545948
24	550287
25	559458
26	560337
27	572514
28	755082
29	763538
30	764787
31	777194
32	782864
33	799336
34	824691
35	840215
36	855343
37	855668
38	856011
39	867203
40	876357
41	879922
42	880006
43	882722
44	950291
45	951373
46	952882
47	1008382
48	1010628
49	1015382
50	1022019
51	1030718
52	1264515
53	1274759
54	1275712
55	1280786
56	1294091
57	1296989
58	1300099
59	1305996
60	1312248
61	1645291
62	1645452
63	1645476
64	1712343
65	1721696
66	1727013
67	1812112
68	1854974
69	1939946
70	1941204
71	1949302
72	1949609
73	1954454
74	1958043
75	1982425
76	1990480
77	2002877
78	2011039
79	2018226
80	2024962
81	2033828
82	2084077
83	2091996
84	2102912
85	2285013
86	2294344
87	2296753
88	2313488
89	2330224
90	2385004
91	2385344
92	2395578
93	2396152
94	2400165
95	2555151
96	2556578
97	2622995
98	2625737
99	2633210
100	2638900
101	2643819
102	2645961
103	2652640
104	2672024
105	2691548
106	2708242
107	2720013
108	2726873
109	2735865
110	2798676
111	2818699
112	2819604
113	2825039
114	2844128
115	3069258
116	3079018
117	3086229
118	3266463
119	3300127
120	3320260
121	3320521
122	3321754
123	3327581
124	3328682
125	3335599
126	3341525
127	3344875
128	3402287
129	3412923
130	3419579
131	3456571
132	3475141
133	3477547
134	3478545
135	3564656
136	3566027
137	3571008
138	3571697
139	3580708
140	3588724
141	3646220
142	3646910
143	3654664
144	3666540
145	3669587
146	3678067
147	3747796
148	3772313
149	3773929
150	3817554
151	3831966
152	3833521
153	3856665
154	3857258
155	4037718
156	4048924
157	4053514
158	4059706
159	4070487
160	4080853
161	4095072
162	4112830
163	4155638
164	4157364
165	4356676
166	4360345
167	4362324
168	4367636
169	4375539
170	4410624
171	4412811
172	4413582
173	4487637
174	4498480
175	4606580
176	4676423
177	4707018
178	4712669
179	4901789
180	4920214
181	4932656
182	5163452
183	5168379
184	5168410
185	5219127
186	5227764
187	5235820
188	5241978
189	5244114
190	5244811
191	5245444
192	5252378
193	5254351
194	5258970
195	5261797
196	5271187
197	5350979
198	5359275
199	5359934
200	5361009
201	5361009
202	5364259
203	5371386
204	5374301
205	5492507
206	5504220
207	5505318
208	5516512
209	5519359
210	5529813
211	5530140
212	5538398
213	5540026
214	5547511
215	5551979
216	5552692
217	5705620
218	5713317
219	5714341
220	5716002
221	5735963
222	5741627
223	5798018
224	5806528
225	5815677
226	5818956
227	5907581
228	5915238
229	5920825
230	5922769
231	5925009
232	5926518
233	5926789
234	5945696
235	5948161
236	5957684
237	5959729
238	5962612
239	5963070
240	5973659
241	5976983
242	5981235
243	5982926
244	5983571
245	5984245
246	5985096
247	6004843
248	6012461
249	6013730
250	6015256
251	6019231
252	6023852
253	6035646
254	6037342
255	6046367
256	6049740
257	6061575
258	6101500
259	6105612
