k	smorfs
1	68418
2	227595
3	272295
4	279255
5	342994
6	724546
7	794358
8	795115
9	824555
10	827535
11	968950
12	1086974
13	1183592
14	1344239
15	1403878
16	1403943
17	1470706
18	1562868
19	1565581
20	1608181
21	1672059
22	1918878
23	1946565
24	2019446
25	2216610
26	2216618
27	2348511
28	2386085
29	2393494
30	2484885
31	2540079
32	2586815
33	2690875
34	2691017
35	2699093
36	2837534
37	2872551
38	2891016
39	3087419
40	3174891
41	3234366
42	3354048
43	3391130
44	3434253
45	3481213
46	3678514
47	3836054
48	3836167
49	3911010
50	3911083
51	3940076
52	4004285
53	4006553
54	4040692
55	4203585
56	4402322
57	4416229
58	4448500
59	4449450
60	4468943
61	4496692
62	4504112
63	4668092
64	4747204
65	4777139
66	4780138
67	4922079
68	4983675
69	5087819
70	5219740
71	5398300
72	5398409
73	5489884
74	5594506
75	5598031
76	5615772
77	5702882
78	5703023
79	5844473
80	5934367
81	5962095
82	5972771
83	5973461
84	5990497
85	6077815
86	6103380
87	6409095
88	6412366
89	6494775
90	6518825
91	6520125
92	6534027
93	6661542
94	6661621
95	6737028
96	6763082
97	6927185
98	6990630
99	7131588
100	7150598
101	7210993
102	7256774
103	7355679
104	7355856
105	7377609
106	7377903
107	7381108
108	7387808
109	7437545
110	7557309
111	7634953
112	7658860
113	7661143
114	7742511
115	7742935
116	7965169
117	7965356
118	8022991
119	8023026
120	8081413
121	8325181
122	8325183
123	8390264
124	8396796
125	8453118
126	8689076
127	8760123
128	8926141
129	8984623
130	9141019
131	9236386
132	9291968
133	9301299
134	9315953
135	9328144
136	9344155
137	9359681
138	9359895
139	9364985
140	9452681
141	9517898
142	9548801
143	9574596
144	9574657
145	9740244
146	9786521
147	9988123
148	9988723
149	10062871
150	10153653
151	10384766
152	10385293
153	10385311
154	10385322
155	10581851
156	10581857
157	10601858
158	10703412
159	10779545
160	10779684
161	10803100
162	11195707
163	11321139
164	11366337
165	11373562
166	11411060
167	11442700
168	11506886
169	11838276
170	11844854
171	11844917
172	11856100
173	11952345
174	12012436
175	12017034
176	12018544
177	12029257
178	12103964
179	12139980
180	12147011
181	12254160
182	12254234
183	12292293
184	12435123
185	12458055
186	12508939
187	12566430
188	12566845
189	12612592
190	12629350
191	12629414
192	12640759
193	12811567
194	12811582
195	12856195
196	12874612
197	12880938
198	13031711
199	13056887
200	13095456
201	13145314
202	13212843
203	13258864
204	13434421
205	13451640
206	13724791
207	13725400
208	13725525
209	13741628
210	13768669
211	13810971
212	13811480
213	13984491
214	14022593
215	14081698
216	14171250
217	14221752
218	14342225
219	14443950
220	14647418
221	14702899
222	14767120
223	14802106
224	14856133
225	14884421
226	14963876
227	15017113
228	15116748
229	15117741
230	15192105
231	15246569
232	15281346
233	15282222
234	15422307
235	15439804
236	15464060
237	15559946
238	15561872
239	15606924
240	15634673
241	15640075
242	15640834
243	15685374
244	15701790
245	15705590
246	15781561
247	15794119
248	15831986
249	16026479
250	16026553
251	16105373
252	16218888
253	16218898
254	16274106
255	16435365
256	16435459
257	16540009
258	16574463
259	16719662
260	16764913
261	16876511
262	16885383
263	16955896
264	16979682
