k	smorfs
1	48563
2	111050
3	149523
4	204904
5	237904
6	261668
7	284831
8	305495
9	311760
10	314846
11	346493
12	362661
13	363658
14	385988
15	418176
16	444579
17	469385
18	483172
19	495137
20	495643
21	498938
22	541532
23	556611
24	564359
25	572163
26	587608
27	592437
28	612498
29	631021
30	633223
31	670839
32	701504
33	715865
34	754552
35	779567
36	786031
37	821595
38	830238
39	865358
40	883273
41	898040
42	899670
43	916150
44	929465
45	942269
46	945670
47	946558
48	949274
49	965125
50	965125
51	978359
52	996173
53	1007482
54	1014223
55	1052842
56	1078942
57	1124420
58	1173897
59	1190824
60	1200342
61	1262744
62	1262873
63	1272919
64	1281177
65	1286386
66	1301684
67	1308048
68	1309084
69	1323764
70	1328768
71	1338506
72	1347472
73	1351374
74	1367346
75	1373753
76	1387915
77	1438088
78	1461400
79	1494878
80	1496061
81	1497931
82	1515036
83	1535717
84	1538735
85	1558544
86	1567306
87	1592208
88	1600899
89	1602774
90	1617409
91	1633671
92	1665433
93	1666157
94	1668518
95	1704854
96	1732859
97	1734445
98	1751248
99	1754929
100	1756310
101	1762797
102	1790775
103	1794983
104	1801484
105	1808339
106	1828100
107	1841920
108	1852321
109	1863664
110	1865379
111	1875605
112	1887703
113	1915482
114	1953313
115	1991024
116	1993416
117	2023800
118	2068408
119	2081586
120	2106533
121	2123429
122	2144472
123	2148201
124	2185598
125	2195573
126	2207142
127	2243165
128	2265461
129	2268726
130	2272221
131	2281377
132	2281537
133	2301953
134	2306293
135	2324866
136	2363147
137	2391380
138	2394145
139	2398049
140	2405320
141	2429640
142	2453276
143	2474919
144	2475543
145	2486940
146	2509198
147	2526972
148	2529323
149	2535928
150	2555963
151	2606120
152	2617639
153	2625223
154	2660014
155	2685817
156	2697522
157	2699474
158	2699845
159	2715853
160	2725797
161	2739170
162	2743762
163	2790813
164	2793875
165	2798508
166	2801867
167	2808925
168	2831531
169	2835172
170	2873953
171	2885617
172	2920055
173	2921071
174	2922206
175	2929197
176	2980583
177	2996765
178	3023264
179	3023477
180	3025359
181	3027278
182	3037274
183	3048547
184	3052325
185	3056244
186	3076443
187	3082808
188	3088364
189	3113265
190	3127253
191	3127568
192	3149755
193	3166046
194	3185325
195	3195388
196	3196647
197	3208285
198	3211197
199	3224614
200	3234337
201	3238712
202	3245159
203	3250949
204	3256900
205	3261558
206	3286507
207	3306095
208	3308425
209	3318386
210	3318875
211	3353607
212	3364973
213	3365981
214	3387784
215	3419187
216	3420732
217	3428094
218	3429680
219	3441983
220	3458086
221	3459788
222	3482354
223	3496487
224	3500011
225	3506803
226	3532552
227	3540719
228	3546046
229	3564293
230	3567028
231	3567718
232	3575305
233	3585665
234	3587919
235	3594677
236	3611321
237	3611672
238	3636997
239	3660821
240	3685600
241	3687543
242	3699895
243	3703232
244	3727607
245	3742112
246	3751558
247	3753838
248	3765702
249	3777699
250	3786331
251	3786589
252	3789484
253	3801178
254	3803189
255	3804589
256	3835225
257	3835772
258	3839711
259	3853851
260	3855198
261	3935521
262	3960832
263	3965412
264	3967614
265	4003572
266	4017144
267	4044297
268	4065133
269	4091918
270	4105384
271	4107137
272	4107792
273	4130621
274	4154880
275	4175051
276	4179246
277	4182084
278	4198648
279	4200222
280	4200937
281	4227090
282	4253687
283	4265427
284	4280552
285	4285630
286	4286059
287	4348412
288	4369708
289	4375701
290	4378730
291	4383582
292	4436729
293	4465618
294	4470936
295	4487183
296	4516303
297	4535433
298	4541929
299	4546029
300	4559988
301	4574949
302	4585613
303	4599143
304	4625467
305	4637936
306	4640216
307	4640333
308	4647472
309	4649310
310	4650480
311	4654456
312	4661081
313	4675593
314	4695186
315	4716938
316	4718000
317	4731769
318	4737693
319	4755754
320	4765560
321	4772752
322	4791384
323	4803339
324	4824089
325	4827191
326	4833598
327	4835127
328	4835806
329	4839025
330	4842491
331	4844223
332	4860200
333	4862516
334	4866371
335	4908896
336	4931781
337	4941469
338	4942250
339	4952690
340	4987696
341	5007492
342	5022463
343	5033568
344	5053284
345	5078384
346	5092192
347	5095635
348	5107374
349	5115526
350	5134191
351	5149541
352	5157496
353	5185886
354	5191382
355	5210553
356	5226960
357	5227107
358	5238123
359	5253968
360	5260095
361	5264101
362	5270093
363	5293424
364	5295523
365	5334199
366	5336079
367	5341693
368	5355404
369	5362506
370	5369469
371	5384542
372	5390321
373	5392284
374	5394615
375	5402024
376	5403258
377	5412124
378	5440653
379	5451057
380	5462041
381	5483373
382	5485383
383	5487081
384	5498542
385	5512952
386	5519479
387	5520270
388	5522055
389	5522569
390	5549314
391	5562131
392	5564258
393	5564636
394	5569706
395	5573157
396	5596724
397	5613388
398	5618635
399	5622420
400	5622779
401	5634806
402	5726329
403	5726679
404	5729656
405	5731216
406	5733163
407	5753328
408	5765682
409	5793414
410	5795541
411	5795974
412	5811680
413	5820383
414	5826070
415	5827618
416	5836013
417	5844167
418	5868731
419	5877321
420	5877557
421	5917930
422	5933214
423	5962219
424	5964062
425	5965900
426	5974432
427	5978066
428	6026204
429	6044563
430	6053905
431	6061716
432	6075165
433	6075606
434	6081802
435	6114367
436	6116872
437	6117658
438	6120260
439	6124319
440	6149206
441	6156097
442	6157299
443	6161690
444	6187225
445	6194586
446	6205491
447	6225837
448	6240394
449	6244839
450	6256565
451	6259527
452	6263457
453	6272187
454	6273909
455	6278732
456	6289374
457	6299213
458	6302962
459	6338799
460	6347532
461	6347697
462	6365300
463	6370206
464	6395588
465	6405516
466	6413167
467	6440381
468	6444757
469	6458773
470	6461680
471	6474048
472	6478619
473	6479907
474	6498433
475	6498513
476	6505989
477	6531425
478	6549148
479	6575381
480	6619284
481	6621795
482	6625825
483	6627030
484	6631962
485	6639580
486	6652107
487	6668893
488	6675755
489	6686808
490	6687562
491	6689018
492	6690446
493	6697175
494	6708705
495	6732540
496	6745109
497	6748367
498	6763858
499	6774752
500	6779386
501	6788604
502	6790132
503	6791853
504	6809348
505	6815667
506	6828515
507	6833906
508	6841646
509	6855752
510	6865596
511	6884190
512	6909957
513	6912524
514	6925085
515	6925884
516	6928359
517	6940432
518	6949045
519	6956047
520	6969491
521	6981949
522	6986360
523	7026750
524	7027153
525	7028381
526	7029165
527	7031383
528	7044907
529	7055949
530	7066774
531	7066799
532	7070478
533	7072609
534	7075723
535	7080116
536	7086299
537	7090690
538	7094958
539	7119682
540	7123632
541	7130014
542	7134149
543	7135111
544	7149712
545	7161408
546	7163511
547	7165291
548	7177277
549	7189784
550	7199323
551	7218054
552	7223444
553	7232433
554	7255517
555	7258595
556	7267126
557	7268787
558	7273196
559	7300677
560	7312681
561	7315923
562	7325709
563	7332089
564	7350057
565	7371506
566	7376373
567	7378273
568	7399886
569	7404112
570	7419591
571	7420803
572	7421087
573	7421954
574	7422124
575	7443139
576	7457736
577	7460398
578	7485688
579	7497806
580	7516387
581	7530407
582	7531482
583	7533939
584	7536499
585	7544939
586	7558147
587	7575571
588	7575783
589	7578588
590	7581566
591	7582416
592	7583547
593	7586784
594	7590417
595	7591448
596	7595756
597	7623348
598	7625179
599	7630801
600	7633821
601	7643961
602	7647928
603	7656010
604	7663515
605	7665225
606	7675442
607	7687741
608	7689785
609	7702277
610	7713964
611	7721931
612	7724123
613	7724443
614	7753171
615	7770196
616	7776993
617	7795531
618	7796476
619	7804253
620	7808806
621	7814242
622	7820747
623	7849165
624	7856719
625	7865498
626	7866564
627	7869641
