k	smorfs
1	9761
2	42229
3	153629
4	181683
5	283562
6	381348
7	381454
8	473879
9	554120
10	558244
11	595370
12	670702
13	704628
14	820697
15	894058
16	984661
17	1049281
18	1114359
19	1170700
20	1266152
21	1308525
22	1376960
23	1459889
24	1501955
25	1511414
26	1566474
27	1638268
28	1652382
29	1683771
30	1684499
31	1730090
32	1730305
33	1743335
34	1816252
35	1899053
36	2192191
37	2253727
38	2274531
39	2405267
40	2490020
41	2520447
42	2536322
43	2779185
44	2816631
45	2817172
46	2957315
47	2979592
48	2984731
49	3072687
50	3137901
51	3197359
52	3211872
53	3290216
54	3431501
55	3471491
56	3687716
57	3716837
58	3795119
59	3859581
60	3922324
61	3975491
62	4039503
63	4071512
64	4126874
65	4173961
66	4191879
67	4233795
68	4290929
69	4484764
70	4546696
71	4548937
72	4657764
73	4905000
74	5028231
75	5052601
76	5055184
77	5186388
78	5215693
79	5244862
80	5297972
81	5344492
82	5356617
83	5397826
84	5431797
85	5458724
86	5491992
87	5519683
88	5870165
89	5922015
90	5946156
91	5998505
92	6028725
93	6037101
94	6057849
95	6121526
96	6329872
97	6397929
98	6448235
99	6496427
100	6543659
101	6692000
102	6755911
103	6826060
104	6858619
105	6859843
106	6924949
107	6949044
108	7096638
109	7099900
110	7145129
111	7146805
112	7203760
113	7275497
114	7358307
115	7376586
116	7410527
117	7473800
118	7477611
119	7523002
120	7600662
121	7662934
122	7775440
123	8286001
124	8380824
125	8428937
126	8457280
127	8478816
128	8723961
129	8747362
130	8792675
131	8792694
132	8837807
133	8857277
134	8860112
135	8953759
136	9072172
137	9131353
138	9133731
139	9259258
140	9276869
141	9311173
142	9357063
143	9420133
144	9514239
145	9523466
146	9658639
147	9875406
148	10123854
149	10193200
150	10217886
151	10267644
152	10310220
153	10369934
154	10516694
155	10590013
156	10610661
157	10666142
158	10692190
159	10725555
160	10769297
161	10794547
162	10867218
163	10921796
164	10937712
165	11037113
166	11085710
167	11113185
168	11123430
169	11138746
170	11281021
171	11397309
172	11480668
173	11526240
174	11656131
175	11687208
176	11688417
177	11757214
178	11814458
179	11932380
180	11969094
181	12131117
182	12151067
183	12168787
184	12260759
185	12307773
186	12474524
187	12512915
188	12528408
189	12666985
190	12693471
191	12702788
192	12748005
193	12765995
194	12801967
195	12814488
196	12845107
197	12960267
198	12969024
199	12994140
200	13011027
201	13031125
202	13045452
203	13046644
204	13077015
205	13077367
206	13109198
207	13200132
208	13250267
209	13298266
210	13335674
211	13380190
212	13413584
213	13486160
214	13488604
215	13561178
216	13608334
217	13610369
218	13638567
219	13690836
220	13743266
221	13746159
222	13763431
223	13797425
224	13805188
225	13904995
226	13906550
227	14059649
228	14097177
229	14108348
230	14128595
231	14140296
232	14168501
233	14294692
234	14337709
235	14814293
236	14852258
237	14854020
238	14869098
239	15101712
240	15239141
241	15458786
242	15515329
243	15516781
244	15524328
245	15525665
246	15572118
247	15607499
248	15641628
249	15702038
250	15920408
251	15942768
252	15948825
253	15986470
254	16108823
255	16171007
256	16196937
257	16240712
258	16250909
259	16270560
260	16332128
261	16344083
262	16732565
263	16756109
264	16779876
265	16811440
266	16856838
267	16878115
268	16949112
269	17002279
270	17047161
271	17048044
272	17234468
273	17311763
274	17347089
275	17377663
276	17510186
277	17535333
278	17566411
279	17579019
280	17597457
281	17615974
282	17671469
283	17672975
284	17728422
285	17800972
286	17868246
287	17902074
288	17918996
289	17952657
290	17964060
291	18001678
292	18026687
293	18149799
294	18183307
295	18350417
296	18388348
297	18401067
298	18439365
299	18482609
300	18523331
301	18539870
302	18559088
303	18610833
304	18728119
305	18749249
306	18766474
307	18955081
308	19087116
309	19101828
310	19143682
311	19302141
312	19454441
313	19537176
314	19583309
315	19597708
316	19665990
317	19725735
318	19810796
319	19811719
320	19827688
321	19887485
322	19907889
323	20018191
324	20018673
325	20063408
326	20091049
327	20114131
328	20136989
329	20198412
330	20205876
331	20244001
332	20294991
333	20314326
334	20331095
335	20472817
336	20511331
337	20746525
338	20881322
339	20904390
340	20907867
341	20951919
342	20970739
343	21114650
344	21175196
345	21222272
346	21266911
347	21308271
348	21341788
349	21376298
350	21579231
351	21807388
352	21826621
353	21837798
354	21863254
355	21885018
356	21937086
357	22216703
358	22226873
359	22427659
360	22484627
361	22516426
362	22567944
363	22614555
364	22615086
365	22679236
366	22686546
367	22716913
368	22728518
369	22776596
370	22793084
371	22824442
372	22825802
373	22857493
374	22975471
375	23061135
376	23092255
377	23131165
378	23306521
379	23320697
380	23360540
381	23381133
382	23400792
383	23433344
384	23464291
385	23490466
386	23511357
387	23537279
388	23636186
389	23637824
390	23641684
391	23644676
392	23676305
393	23719245
394	23734931
395	23734979
396	23778366
397	23821176
398	23868099
399	23966223
400	23979090
401	23979639
402	24151083
403	24197487
404	24324326
405	24333590
406	24373372
407	24392250
408	24462303
409	24474868
410	24538768
411	24638621
412	24674303
413	24703565
414	24784607
415	24806890
416	24830285
417	24845310
418	24889236
419	24898489
420	24914734
421	24922049
422	25270364
423	25307855
424	25327500
425	25337033
426	25373943
427	25385713
428	25433187
429	25435202
430	25455436
431	25463055
432	25475720
433	25521169
434	25533398
435	25576261
436	25590938
437	25623631
438	25631170
439	25676611
440	25702292
441	25705567
442	25715625
443	25721705
444	26027495
445	26087044
446	26124044
447	26231805
448	26234043
449	26236791
450	26238506
451	26289946
452	26292690
453	26302142
454	26330845
455	26392530
456	26405502
457	26413152
458	26457248
459	26470339
460	26477917
461	26630302
462	26667935
463	26686769
464	26702853
465	26726247
466	26763592
467	26828635
468	26861662
469	26902091
470	26922478
471	26939693
472	26948226
473	26986420
474	27018818
475	27056386
476	27144663
477	27194247
478	27233409
479	27248649
480	27268942
481	27296490
482	27342376
483	27370303
484	27408171
485	27418467
486	27422307
487	27467934
488	27467941
489	27497624
490	27508398
491	27519206
492	27553615
493	27559119
494	27585910
495	27608831
496	27613721
497	27614971
498	27626486
499	27628729
500	27682469
501	27697521
502	27716112
503	27777248
504	27881419
505	27890803
506	27929556
507	27975720
508	28032335
509	28388731
510	28388843
511	28396126
512	28404974
513	28441563
514	28451788
515	28490364
516	28736401
517	28774431
518	28820468
519	28848003
520	28870153
521	28923801
522	28939328
523	28995131
524	29018520
525	29036215
526	29045412
527	29051724
528	29061918
529	29083406
530	29119400
531	29147970
532	29187083
533	29216639
534	29357256
535	29383064
536	29417311
537	29442404
538	29466723
539	29522622
540	29529229
541	29558705
542	29586482
543	29621939
544	29649406
545	29652721
546	29672676
547	29695832
548	29808600
549	29853307
550	29881960
551	29896548
552	29912412
553	29924513
554	29936929
555	29976923
556	30080390
557	30285673
558	30335390
559	30371502
560	30392312
561	30445870
562	30483871
563	30693008
564	30714228
565	30727836
566	30755850
567	30783755
568	30800764
569	30826050
570	31118268
571	31135180
572	31157410
573	31175807
574	31216105
575	31377338
576	31392287
577	31513068
578	31515562
579	31581748
580	31591090
581	31651675
582	31679995
583	31714911
584	31769141
585	31776833
586	31880017
587	31897629
588	31953691
589	31959309
590	31966859
591	32105697
592	32130273
593	32158163
594	32170464
595	32348825
596	32390535
597	32521052
598	32537351
599	32565208
600	32617746
601	32755440
602	32795469
603	32814844
604	32833682
605	32860942
606	32879629
607	32912339
608	32993439
609	33043087
610	33245899
611	33411628
612	33439725
613	33481211
614	33602984
615	33643983
616	33684239
617	33754191
618	33873475
619	33890976
620	33902557
621	33927238
622	33937002
623	33956140
624	34040175
625	34043641
626	34056618
627	34073404
628	34102368
629	34104637
630	34120362
631	34280907
632	34310992
633	34313163
634	34324662
635	34342918
636	34361265
637	34488624
638	34514439
639	34555421
640	34561979
641	34572011
642	34597916
643	34632800
644	34641155
645	34663408
646	34705689
647	34914043
648	34914942
649	34972893
650	34986436
651	35002400
652	35045953
653	35054782
654	35075879
655	35084035
656	35110116
657	35167269
658	35178474
659	35206855
660	35240113
661	35240649
662	35243040
663	35271537
664	35272203
665	35278434
666	35312698
667	35323539
668	35446258
669	35458144
670	35459442
671	35467126
672	35517564
673	35535245
674	35548242
