k	smorfs
1	272204
2	316626
3	319411
4	326441
5	377562
6	401114
7	408831
8	409871
9	411937
10	414695
11	416633
12	476924
13	478245
14	490043
15	491801
16	493487
17	518886
18	522033
19	523971
20	524932
21	525183
22	527103
23	547397
24	548792
25	549638
26	552096
27	553305
28	554269
29	564978
30	565884
31	566230
32	625135
33	627269
34	628946
35	630629
36	631629
37	633959
38	673576
39	673592
40	781403
41	830998
42	832289
43	832659
44	833291
45	835051
46	836787
47	840516
48	841422
49	841744
50	841920
51	843004
52	896662
53	896823
54	897826
55	899153
56	917311
57	961339
58	962643
59	964599
60	966055
61	982575
62	983802
63	984689
64	985509
65	991149
66	1013736
67	1015811
68	1015959
69	1018221
70	1045979
71	1048990
72	1052671
73	1053938
74	1056041
75	1056715
76	1070222
77	1115953
78	1144627
79	1152101
80	1154025
81	1154644
82	1155802
83	1156982
84	1161363
85	1241976
86	1277060
87	1286694
88	1287307
89	1287946
90	1291541
91	1292630
92	1295082
93	1321443
94	1323576
95	1324071
96	1325167
97	1381074
98	1386941
99	1388098
100	1389048
101	1390451
102	1392036
103	1393544
104	1394932
105	1419670
106	1446468
107	1490375
108	1491175
109	1496107
110	1497724
111	1499738
112	1500772
113	1505031
114	1506185
115	1508279
116	1509438
117	1510336
118	1511476
119	1512740
120	1515120
121	1560440
122	1565028
123	1565488
124	1567638
125	1571342
126	1573128
127	1574845
128	1575689
129	1623458
130	1624426
131	1630360
132	1634425
133	1636089
134	1640694
135	1648490
136	1649736
137	1676687
138	1677187
139	1678143
140	1688851
141	1690066
142	1695574
143	1696236
144	1737696
145	1739210
146	1740321
147	1766672
148	1766846
149	1767598
150	1778144
151	1782550
152	1831011
153	1832019
154	1833494
155	1834514
156	1836796
157	1846589
158	1893133
159	1893215
160	1893802
161	1894657
162	1907430
163	1907715
164	1954986
165	1955813
166	1956409
167	1957260
168	1959194
169	1960902
170	1971921
171	1975398
172	1976169
173	1976988
174	2014935
175	2015860
176	2017614
177	2019853
178	2021301
179	2022780
180	2023515
181	2026704
182	2028384
183	2035934
184	2037715
185	2039468
186	2039631
187	2040656
188	2042329
189	2043845
190	2049361
191	2050373
192	2054447
193	2055104
194	2055993
195	2057380
196	2082712
197	2083907
198	2086017
199	2278096
200	2305850
201	2325748
202	2326999
203	2368983
204	2380460
205	2384616
206	2394416
207	2395548
208	2405457
209	2406047
210	2407400
211	2421873
212	2422488
213	2425240
214	2432090
215	2433470
216	2434505
217	2435466
218	2479418
219	2480052
220	2517430
221	2518633
222	2520233
223	2522757
224	2523936
225	2527592
226	2528251
227	2529136
228	2552083
229	2552641
230	2553379
231	2554492
232	2555083
233	2555606
234	2557428
235	2558410
236	2644391
237	2658854
238	2659556
239	2661144
240	2688744
241	2690389
242	2690947
243	2692017
244	2692553
245	2715792
246	2722571
247	2728737
248	2741423
249	2906432
250	2906481
251	2921515
252	2922188
253	2924121
254	2933880
255	2949095
256	2949798
257	2988012
258	2988653
259	3052491
260	3053719
261	3055759
262	3059655
263	3084827
264	3085555
265	3086347
266	3094162
267	3095234
268	3095982
269	3125294
270	3126284
271	3126960
272	3132056
273	3133125
274	3133574
275	3142992
276	3143739
277	3156814
278	3158765
279	3163878
280	3165041
281	3167177
282	3197030
283	3198704
284	3199676
285	3200243
286	3218337
287	3218915
288	3219522
289	3220107
290	3220820
291	3221937
292	3222318
293	3223239
294	3233587
295	3234369
296	3234448
297	3235933
298	3243543
299	3244700
300	3246525
301	3267981
302	3270046
303	3271285
304	3271844
305	3283218
306	3284081
307	3285520
308	3365162
309	3366232
310	3367268
311	3368190
312	3368780
313	3369924
314	3371054
315	3382445
316	3383773
317	3457831
318	3458938
319	3460157
320	3485257
321	3485404
322	3486208
323	3487185
324	3488716
325	3494693
326	3523543
327	3525203
328	3532016
329	3545766
330	3546569
331	3548498
332	3549404
333	3549447
334	3552057
335	3553707
336	3554245
337	3573883
338	3575879
339	3580748
340	3583098
341	3583876
342	3584709
343	3585497
344	3618391
345	3619140
346	3622994
347	3623723
348	3639417
349	3665008
350	3665573
351	3666367
352	3667381
353	3684714
354	3686113
355	3686896
356	3687559
357	3688015
358	3688816
359	3689532
360	3690996
361	3691037
362	3692416
363	3693119
364	3695936
365	3696420
366	3696955
367	3697733
368	3698127
369	3720821
370	3723768
371	3724789
372	3741004
373	3741759
374	3742766
375	3743361
376	3780956
377	3791556
378	3792301
379	3800758
380	3821538
381	3822770
382	3823561
383	3846791
384	3846811
385	3847457
386	3848024
387	3861004
388	3871476
389	3971264
390	3972163
391	3972982
392	3973508
393	3973734
394	3974458
395	3975524
396	3976151
397	3977156
398	3977834
399	3977942
400	3979249
401	3980037
402	3985396
403	3985599
404	3986911
405	4062159
406	4063001
407	4063705
408	4066018
409	4066684
410	4067238
411	4068073
412	4068652
413	4271606
414	4272974
415	4278059
416	4278581
417	4279552
418	4303575
419	4304812
420	4317942
421	4318693
422	4319260
423	4319901
424	4331995
425	4343310
426	4362613
427	4369130
428	4371049
429	4372028
430	4396584
431	4423261
432	4446614
433	4447777
434	4449423
435	4450465
436	4451311
437	4453626
438	4503228
439	4504144
440	4525880
441	4532345
442	4549412
443	4550749
444	4552920
445	4553907
446	4554678
447	4576165
448	4577150
449	4585516
450	4586263
451	4590429
452	4604645
453	4605166
454	4617849
455	4618305
456	4618920
457	4619126
458	4619630
459	4644757
460	4645592
461	4646703
462	4661383
463	4662358
464	4662988
465	4663602
466	4680632
467	4684715
468	4686213
469	4692163
470	4814535
471	4815546
472	4817093
473	4818032
474	4818724
475	4821232
476	4855832
477	4856370
478	4857651
479	4859044
480	4934934
481	4935906
482	4936102
483	4936750
484	4937333
485	4938405
486	4939650
487	4940043
488	4940636
489	4941261
490	4941797
491	4943270
492	4980146
493	4981337
494	5093008
495	5093660
496	5094128
497	5115355
498	5116819
499	5119334
500	5120346
501	5138153
502	5154622
503	5157607
504	5158641
505	5175084
506	5176017
507	5176747
508	5184785
509	5186136
510	5187466
511	5188119
512	5206485
513	5207340
514	5213729
515	5214807
516	5215518
517	5215582
518	5225870
519	5226734
520	5230690
521	5231157
522	5251943
523	5388834
524	5390858
525	5391814
526	5392256
527	5393258
528	5395613
529	5396151
530	5397758
531	5413389
532	5414349
533	5414370
534	5419558
535	5420373
536	5428313
537	5429948
538	5430423
539	5446493
540	5453332
541	5455985
542	5456685
543	5476417
544	5476928
545	5478390
546	5479263
547	5480117
548	5481191
549	5486069
550	5497750
551	5501548
552	5537043
553	5537657
554	5538357
555	5550896
