k	smorfs
1	2072
2	2827
3	61392
4	352694
5	354314
6	362462
7	368547
8	390192
9	468227
10	470796
11	479660
12	793719
13	794126
14	800187
15	867609
16	1100597
17	1210322
18	1416770
19	1459884
20	1483768
21	1494345
22	1595513
23	1596844
24	1816320
25	1817553
26	1819390
27	1828245
28	1918667
29	1927625
30	2014542
31	2232116
32	2269481
33	2283369
34	2300294
35	2300580
36	2303090
37	2306907
38	2327358
39	2417122
40	2424378
41	2895996
42	2898935
43	2977671
44	2978579
45	3123453
46	3125795
47	3389395
48	3397875
49	3488218
50	3488986
51	3649308
52	3651422
53	3666014
54	3667790
55	3672795
56	3726522
57	3781459
58	3790997
59	3835975
60	3899433
61	3903466
62	3938758
63	3973732
64	4024535
65	4038988
66	4220902
67	4226714
68	4247868
69	4248343
70	4288718
71	4312551
72	4773732
73	5061319
74	5063066
75	5070564
76	5071411
77	5073974
78	5080402
79	5186325
80	5310448
81	5321827
82	5405507
83	5430041
84	5472200
85	5473160
86	5785338
87	5788681
88	5795931
89	5802877
90	5949177
91	5970180
92	5982056
93	5995885
94	6022675
95	6079009
96	6084553
97	6091430
98	6100127
99	6118511
100	6141306
101	6143310
102	6155992
103	6226340
104	6310124
105	6425027
106	6529655
107	6640736
108	6641431
109	6696343
110	6812591
111	6826226
112	6829931
113	6862047
114	6868829
115	6885054
116	6885928
117	6939046
118	6958967
119	6959345
120	7016121
121	7018354
122	7056096
123	7109946
124	7127589
125	7134444
126	7162227
127	7168312
128	7168430
129	7274292
130	7278298
131	7323583
132	7577934
133	7708465
134	7718755
135	7726929
136	7730804
137	7740578
138	7753908
139	8024876
140	8233709
141	8350317
142	8369784
143	8377706
144	8409360
145	8410148
146	8458251
147	8469149
148	8576300
149	8607126
150	8615433
151	8673484
152	8719658
153	8742535
154	8783775
155	8792572
156	8794123
157	8811726
158	8836264
159	8942414
160	8948576
161	8965440
162	8980583
163	8981387
164	9034310
165	9040305
166	9189003
167	9213793
168	9215309
169	9220192
170	9347719
171	9355925
172	9371453
173	9395599
174	9407111
175	9411222
176	9452535
177	9901448
178	9964795
179	9969235
180	9977341
181	9984147
182	10004411
183	10006240
184	10017813
185	10099778
186	10160790
187	10247502
188	10518192
189	10519500
190	10634481
191	10644749
192	10746847
193	10771588
194	10786015
195	11045527
196	11155042
197	11171004
198	11189410
199	11283690
200	11302364
201	11433661
202	11445506
203	11457867
204	11593211
205	11597485
206	11624464
207	11655193
208	11713259
209	11948505
210	11949225
211	12029892
212	12030773
213	12107040
214	12149300
215	12186490
216	12221117
217	12383095
218	12415613
219	12440452
220	12905257
221	12914630
222	13190875
223	13196223
224	13202875
225	13204086
226	13267441
227	13337599
228	13341231
229	13388569
230	13414582
231	13434799
232	13439554
233	13538113
234	13661133
235	13683507
236	13687461
237	13803320
238	13804727
239	13804741
240	13846832
241	13952731
242	13964511
243	13978028
244	13981091
245	14026318
246	14027162
247	14053675
248	14060111
249	14112664
250	14114894
251	14273655
252	14299552
253	14438975
254	14448776
255	14534286
256	14534668
257	14535322
258	14583541
259	14643258
260	14644097
261	14706900
262	14712571
263	14868497
264	14886735
265	14991329
266	15239780
267	15247247
268	15251153
269	15300974
270	15309796
271	15401587
272	15664934
273	15669568
274	15699734
275	16020626
276	16025772
277	16061073
278	16089695
279	16092903
280	16120513
281	16128046
282	16226103
283	16235955
284	16371293
285	16546095
286	16557919
287	16585798
288	17012409
289	17019182
290	17027732
291	17060228
292	17169762
293	17251611
294	17255832
295	17256462
296	17262893
297	17264148
298	17305497
299	17316565
300	17388440
301	17411144
302	17412048
303	17471282
304	17520823
305	17529933
306	17613472
307	17660951
308	17663695
309	17821047
310	17822373
311	17823381
312	17828828
313	17841548
314	17847184
315	17852078
316	17860173
317	17989086
318	18326156
319	18345237
320	18415295
321	18425571
322	18545667
323	18630235
324	18855433
325	18870513
326	18926718
327	18927895
328	18934068
329	18942389
330	19034602
331	19051458
332	19054096
333	19061272
334	19293387
335	19322764
336	19355282
337	19683831
338	19914218
339	19924762
340	19971986
341	19977026
342	19995452
343	20034884
344	20209264
345	20210778
346	20211543
347	20447532
348	20459264
349	20469509
350	20471969
351	20527158
352	20677342
353	20771382
354	21041467
355	21056030
356	21058706
357	21102298
358	21103412
359	21109149
360	21124579
361	21128720
362	21132057
363	21133876
364	21155144
365	21161607
366	21235750
367	21266485
368	21307255
369	21312864
370	21353109
371	21353906
372	21481726
373	21483440
374	21485885
375	21490810
376	21494496
377	21496820
378	21497211
379	21629161
380	21635176
381	21653478
382	21660822
383	21661849
384	21728148
385	21913992
386	21914821
387	21948053
388	21952056
389	21976841
390	22017571
391	22026784
392	22039842
393	22165326
394	22260792
395	22423517
396	23082947
397	23097763
398	23331981
399	23333913
400	23334556
401	23340088
402	23370141
403	23373432
404	23377301
405	23422362
406	23423415
407	23463001
408	23463177
409	23489445
410	23492502
411	23537304
412	23545810
413	23630576
414	23632578
415	23638518
416	23661980
417	23662754
418	23758847
419	23793461
420	23802921
421	23815353
422	23853368
423	24029063
424	24055330
425	24055790
426	24192008
427	24271690
428	24466982
429	24471733
430	24481048
431	24481528
432	24483896
433	24578036
434	24578512
435	24578748
436	24582106
437	24674473
438	24848699
439	24867781
440	24912644
441	24913220
442	24932796
443	24937641
444	24938467
445	24941727
446	24945763
447	24952758
448	24953236
449	24973438
450	25008807
451	25023189
452	25024419
453	25024797
454	25192594
455	25272317
456	25317670
457	25318271
458	25327991
459	25332036
460	25338269
461	25393592
462	25416989
463	25420070
464	25427783
465	25433617
466	25442230
467	25450090
468	25452904
469	25547755
470	25566427
471	25568407
472	25577973
473	25594316
474	25601763
475	25602795
476	25616977
477	25653467
478	25655580
479	25776993
480	25777318
481	25778779
482	25779057
483	25779286
484	25796694
485	25802115
486	25841595
487	25842891
488	25854606
489	25931177
490	25933572
491	25940754
492	25961457
493	25982044
494	26001233
495	26009266
496	26212448
497	26225695
498	26235832
499	26237211
500	26237796
501	26453439
502	26454844
503	26486434
504	26495020
505	26500139
506	26503420
507	26504067
508	26504125
509	26521089
510	26527169
511	26590437
512	26601479
513	26608173
514	26608716
515	26670466
516	26675255
517	26738822
518	26744446
519	26841969
520	26853197
521	26872957
522	26901597
523	26906651
524	26913499
525	26914162
526	26927674
527	26933407
528	27040830
529	27062343
530	27067253
531	27067366
532	27100092
533	27103139
534	27103628
535	27110491
536	27125428
537	27126239
538	27151235
539	27169579
540	27169949
541	27179610
542	27181560
543	27201451
544	27211727
545	27217564
546	27226538
547	27229132
548	27259367
549	27262489
550	27267463
551	27310725
552	27314303
553	27330154
554	27332096
555	27347369
556	27359876
557	27373186
558	27388416
559	27394869
560	27433216
561	27483886
562	27514558
563	27537312
564	27555134
565	27577535
566	27639297
567	27689675
568	27697611
569	27701526
570	27707943
571	27710400
572	27710523
573	27746909
574	27747431
575	27747735
576	27750384
577	27760440
578	27942066
579	27973866
580	27992903
581	27995688
582	28002799
583	28003687
584	28066579
585	28085799
586	28087132
587	28096655
588	28099314
589	28265957
590	28272653
591	28287895
592	28289282
593	28289801
594	28318671
595	28341094
596	28429672
597	28539301
598	28546902
599	28609367
600	28773215
601	28784848
602	28787997
603	28803926
604	28804221
605	28806661
606	28826100
607	28847881
608	28869158
609	28870562
610	28887337
611	28919761
612	28920600
613	28955442
614	28975923
615	29021732
616	29054831
617	29055507
618	29058893
619	29059530
620	29065841
621	29066807
622	29073664
623	29090706
624	29090844
625	29100240
626	29103514
627	29108694
628	29115240
629	29176905
630	29325151
631	29327260
632	29336735
633	29420743
634	29457226
635	29474227
636	29550775
637	29551769
638	29557506
639	29562823
640	29568686
641	29619780
642	29622359
643	29623029
644	29625089
645	29644133
646	29944322
647	29948994
648	29949228
649	29949801
650	29953540
651	29954031
652	29959998
653	29960320
654	29963673
655	30266478
656	30307566
657	30315904
658	30316206
659	30592036
660	30593354
661	30599192
662	30614581
663	30744130
664	30750080
665	30752184
666	30824862
667	30826535
668	30841350
669	30868266
670	30897670
671	30930338
672	30935796
673	30939763
674	31027950
675	31032467
676	31047145
677	31048483
678	31052047
679	31161655
680	31170701
681	31303471
682	31304646
683	31381313
684	31386710
685	31404037
686	31406897
687	31419869
688	31440578
689	31597837
690	31602349
691	31609782
692	31639799
693	31641196
694	31641481
695	31642340
696	31691912
697	31693321
698	31883341
699	31891311
700	31893243
701	31919927
702	31955511
703	31973362
704	32007089
705	32011441
706	32013094
707	32086625
708	32095003
709	32095139
710	32097613
711	32106227
712	32113370
713	32116874
714	32167412
715	32170193
716	32188255
717	32193700
718	32233529
719	32234618
720	32259103
721	32412855
722	32432742
723	32439682
724	32552533
725	32684522
726	32711146
727	32770392
728	32782170
729	32782661
730	32797648
731	32827252
732	32832330
733	32854255
734	32855043
735	32858965
736	32860937
737	32918845
738	32926625
739	32931191
740	32933025
741	32984877
742	32986708
743	33000064
744	33005895
745	33105400
746	33128016
747	33128743
748	33132673
749	33144034
750	33160894
751	33163318
752	33299031
753	33312818
754	33569335
755	33570059
756	33571163
757	33614614
758	33694335
759	33740542
760	33746147
761	33750377
762	33772113
763	33774758
764	33804260
765	33807127
766	33982786
767	33996915
768	34048364
769	34051016
770	34064685
771	34116140
772	34126182
773	34129994
774	34130304
775	34174555
776	34216340
777	34225791
778	34230655
779	34308932
780	34317981
781	34321976
782	34410842
783	34433137
784	34435786
785	34461981
786	34464037
787	34466776
788	34469721
789	34475348
790	34475635
791	34477288
792	34491560
793	34493450
794	34533204
795	34566623
796	34573087
797	34664138
798	34693409
799	34703777
800	34760321
801	34955310
802	34986022
803	34994313
804	34994624
805	35001413
806	35002784
807	35052495
808	35060643
809	35068127
810	35094436
811	35144879
812	35169195
813	35335182
814	35515051
815	35516641
816	35561119
817	35561690
818	35564504
819	35564583
820	35591788
821	35685353
822	35698558
823	35699372
824	35735246
825	35739261
826	35755725
827	35766166
828	35774620
829	35800008
830	35880526
831	35880972
832	35892558
833	35893099
834	35945239
835	36038462
836	36050076
837	36050387
838	36055889
839	36056433
840	36136128
841	36136413
842	36139284
843	36142546
844	36144580
845	36151293
846	36179659
847	36188274
848	36217729
849	36217864
850	36229349
851	36312600
852	36333380
853	36455698
854	36485118
855	36505556
856	36505626
857	36506465
858	36541356
859	36542308
860	36544273
861	36547937
862	36554935
863	36563005
864	36576047
865	36760514
866	36807927
867	36915644
868	36919615
869	36923344
870	36999568
871	37004037
872	37024842
873	37173835
874	37176385
875	37179167
876	37184910
877	37196634
878	37247279
879	37249986
880	37269904
881	37274274
882	37760055
883	37760497
884	37760531
885	37872956
886	38266751
887	38268981
888	38272177
889	38276643
890	38284784
891	38291862
892	38297076
893	38298330
894	38307986
895	38311180
896	38322267
897	38341019
898	38348170
899	38553894
900	38582370
901	38651383
902	38655700
903	38683437
904	38852703
905	38921149
906	38927279
907	38930093
908	38952391
909	38955715
910	38964735
911	39066473
912	39215724
913	39227371
914	39386378
915	39391546
916	39458347
917	39460955
918	39489477
919	39516028
920	39516469
921	39518594
922	39534905
923	39619771
924	39716985
925	39737030
926	39748148
927	39767123
928	39767958
929	39780221
930	39798271
931	39828524
932	39845456
933	39845534
934	39848133
935	39853047
936	39856298
937	39860459
938	39861622
939	39864228
940	39868072
941	39906686
942	39910596
943	39919493
944	40286118
945	40288308
946	40289124
947	40392551
948	40404929
949	40444304
950	40460786
951	40487625
952	40489842
953	40508812
954	40549746
955	40551576
956	40572859
957	40577604
958	40588518
959	40589385
960	40591517
961	40594417
962	40596715
963	40619183
964	40641733
965	40642971
966	40723348
967	40954231
968	40956856
969	41043533
970	41044437
971	41051703
972	41116516
973	41123927
974	41126779
975	41139994
976	41162142
977	41195045
978	41195289
979	41196630
980	41246728
981	41249991
982	41250118
983	41260710
984	41273532
985	41291043
986	41293285
987	41300864
988	41306775
989	41307298
990	41308176
991	41311661
992	41456646
993	41473094
994	41495275
995	41501346
996	41504404
997	41510077
998	41584572
999	41608792
1000	41626488
1001	41631349
1002	41632097
1003	41635167
1004	41640682
1005	41719228
1006	41970757
1007	41992778
1008	42000971
1009	42001127
1010	42057970
1011	42083188
1012	42121244
1013	42130462
1014	42134452
1015	42148277
1016	42158336
1017	42198865
1018	42205430
1019	42207217
1020	42211817
1021	42258675
1022	42262726
1023	42262832
1024	42371733
1025	42511511
1026	42512034
1027	42562088
1028	42565150
1029	42615916
1030	42636005
1031	42648579
1032	42670263
1033	42706057
1034	42781327
1035	42784571
1036	42810707
1037	42845520
1038	42849811
1039	42853443
1040	42855231
1041	42866857
1042	43071601
1043	43078150
1044	43083727
1045	43086190
1046	43086802
1047	43218851
1048	43235484
1049	43239880
1050	43242212
1051	43248001
1052	43254144
1053	43255838
1054	43264085
1055	43268590
1056	43333619
1057	43352108
1058	43356485
1059	43362819
1060	43366286
1061	43379013
1062	43442184
1063	43446030
1064	43456073
1065	43475002
1066	43477877
1067	43532954
1068	43589262
1069	43598060
1070	43598952
1071	43602853
1072	43602947
1073	43617487
1074	43642036
1075	43821388
1076	43849179
1077	43852962
1078	43871359
1079	43871894
1080	43897462
1081	43898211
1082	43904562
1083	43979596
1084	43997202
1085	44023097
1086	44056583
1087	44222770
1088	44222877
1089	44236272
1090	44236674
1091	44244496
1092	44249754
1093	44263158
1094	44276707
1095	44276901
1096	44278579
1097	44285265
1098	44398869
1099	44413916
1100	44427325
1101	44429820
1102	44458926
1103	44496970
1104	44498251
1105	44499780
1106	44528391
1107	44564783
1108	44565176
1109	44596112
1110	44618406
1111	44673584
1112	44676465
1113	44689586
1114	44705259
1115	44706323
1116	44714775
1117	44715228
1118	44734697
1119	44738511
1120	44776842
1121	44823076
1122	44823245
1123	44838938
1124	44855587
1125	44889568
1126	44891305
1127	44902086
1128	44936522
1129	44937805
1130	44940593
1131	44963791
1132	44965568
1133	44973698
1134	44974869
1135	45105432
1136	45108483
1137	45109785
1138	45128867
1139	45166289
1140	45167482
1141	45171772
1142	45174461
1143	45317024
1144	45326888
1145	45330825
1146	45337795
1147	45345230
1148	45351905
1149	45353031
1150	45356169
1151	45606594
1152	45672274
1153	45679037
1154	45701900
1155	45703673
1156	45761938
1157	45871802
1158	45874046
1159	45875862
1160	45879230
1161	45909418
1162	46032198
1163	46035816
1164	46037300
1165	46038353
1166	46126926
1167	46189354
1168	46191005
1169	46191194
1170	46205541
1171	46223278
1172	46225618
1173	46226941
1174	46231242
1175	46236326
1176	46437747
1177	46486618
1178	46511919
1179	46525586
1180	46561455
1181	46586780
1182	46598509
1183	46607696
1184	46637577
1185	46637948
1186	46642162
1187	46644456
1188	46648094
1189	46651846
1190	46655514
1191	46786526
1192	46847872
1193	46882288
1194	46948762
1195	46967134
1196	46988224
1197	47017770
1198	47021589
1199	47023429
1200	47426452
1201	47433751
1202	47519247
1203	47526323
1204	47526631
1205	47591437
1206	47602656
1207	47605706
1208	47614475
1209	47618729
1210	47624563
1211	47660959
1212	47664363
1213	47699134
1214	47775287
1215	47925993
1216	47977701
1217	47978166
1218	47979936
1219	47984887
1220	47987921
1221	48290761
1222	48475192
1223	48499747
1224	48535939
1225	48561803
1226	48572107
1227	48603050
1228	48638586
1229	48640868
1230	48775661
1231	48787250
1232	48808236
1233	48813175
1234	48857065
1235	48857865
1236	48859227
1237	48860286
1238	48879186
1239	48880924
1240	48881413
1241	48883466
1242	48888623
1243	48893170
1244	48902100
1245	48904003
1246	48940360
1247	48969070
1248	49025238
1249	49028604
1250	49031844
1251	49034581
1252	49068000
1253	49070351
1254	49092320
1255	49131129
1256	49133293
1257	49140343
1258	49153516
1259	49155915
1260	49187705
1261	49200530
1262	49205442
1263	49346452
1264	49486458
1265	49558020
1266	49572674
1267	49581022
1268	49582820
1269	49590035
1270	49592181
1271	49923178
1272	49955396
1273	49973608
1274	50024621
1275	50024694
1276	50157500
1277	50180487
1278	50339976
1279	50340893
1280	50341085
1281	50367583
1282	50374799
1283	50379859
1284	50392138
1285	50406523
1286	50411490
1287	50440228
1288	50440479
1289	50441939
1290	50444112
1291	50444309
1292	50447792
1293	50465638
1294	50497114
1295	50502638
1296	50514546
1297	50529731
1298	50535787
1299	50679237
1300	50724108
1301	50724697
1302	50783330
1303	50788550
1304	50852750
1305	50900855
1306	50928513
1307	50942946
1308	50960784
1309	50974198
1310	50985315
1311	50990477
1312	50993482
1313	51015049
1314	51015534
1315	51020405
1316	51021294
1317	51021792
1318	51090992
1319	51111890
1320	51165228
1321	51169184
1322	51251755
1323	51265311
1324	51267499
1325	51340901
1326	51341522
1327	51344659
1328	51381589
1329	51383017
1330	51418628
1331	51504774
1332	51516222
1333	51517158
1334	51525226
1335	51533188
1336	51557717
1337	51564291
1338	51564634
1339	51567710
1340	51569403
1341	51600943
1342	51614448
1343	51628119
1344	51645111
1345	51650518
1346	51662393
1347	51672273
1348	51687956
1349	51699417
1350	51711851
1351	51754837
1352	51755289
1353	51755772
1354	51758967
1355	51763454
1356	51764044
1357	51764436
1358	51956978
1359	51967226
1360	51989048
1361	52041565
1362	52081377
1363	52085813
1364	52086015
1365	52087243
1366	52093356
1367	52117028
1368	52134902
1369	52137899
1370	52148552
1371	52148798
1372	52208139
1373	52209769
1374	52274240
1375	52276487
1376	52278159
1377	52310815
1378	52313938
1379	52474029
1380	52475932
1381	52483041
1382	52523461
1383	52549147
1384	52551819
1385	52589121
1386	52596293
1387	52618011
1388	52619243
1389	52624235
1390	52625076
1391	52659013
1392	52666076
1393	52684150
1394	52729922
1395	52746798
1396	52776338
1397	52781275
1398	52794422
1399	52796469
1400	52803388
1401	52881569
1402	52889083
1403	52891013
1404	52891120
1405	52893018
1406	52893478
1407	52899562
1408	52902792
1409	52933012
1410	53067967
1411	53069118
1412	53073949
1413	53075185
1414	53076521
1415	53133342
1416	53137768
1417	53184816
1418	53238253
1419	53238988
1420	53369976
1421	53477357
1422	53490588
1423	53555679
1424	53558072
1425	53569204
1426	53579552
1427	53580300
1428	53590934
1429	53607045
1430	53614271
1431	53630704
1432	53687498
1433	53687566
1434	53687662
1435	53689680
1436	53691229
1437	53697102
1438	53700686
1439	53700743
1440	53700859
1441	53714562
1442	53720169
1443	53729355
1444	53772223
1445	53789569
1446	53855564
1447	53881885
1448	53897045
1449	53909744
1450	53914395
1451	53920887
1452	53923803
1453	53939178
1454	53939884
1455	53963412
1456	53984730
1457	53986736
1458	54046776
1459	54050199
1460	54062594
1461	54076232
1462	54230862
1463	54282375
1464	54283569
1465	54303729
1466	54310185
1467	54342300
1468	54370732
1469	54370868
1470	54376028
1471	54396402
1472	54400731
1473	54407992
1474	54455581
1475	54458200
1476	54462202
1477	54484940
1478	54521388
1479	54522167
1480	54544293
1481	54569289
1482	54572234
1483	54574832
1484	54591208
1485	54609116
1486	54611057
1487	54611171
1488	54624547
1489	54668770
1490	54689021
1491	54825098
1492	54829102
1493	54844836
1494	54851058
1495	54854346
1496	55034616
1497	55043377
1498	55058193
1499	55066057
1500	55131276
1501	55132173
1502	55132680
1503	55133043
1504	55134621
1505	55136198
1506	55173609
1507	55206503
1508	55208548
1509	55259613
1510	55261383
1511	55395984
1512	55408364
1513	55593756
1514	55601273
1515	55601642
1516	55706597
1517	55707375
1518	55709518
1519	55711669
1520	55711819
1521	55745606
1522	55764776
1523	55785179
1524	55873661
1525	55874235
1526	55898121
1527	55906517
1528	55918396
1529	55949732
1530	55956500
1531	55966720
1532	55976272
1533	55976477
1534	55980467
1535	55988615
1536	55990294
1537	55990897
1538	56011164
1539	56040980
1540	56046595
1541	56047131
1542	56101005
1543	56107456
1544	56126249
1545	56132059
1546	56185208
1547	56315194
1548	56328538
1549	56371131
1550	56541755
1551	56544320
1552	56557780
1553	56559279
1554	56565190
1555	56580153
1556	56632845
1557	56633745
1558	56637866
1559	56644707
1560	56649303
1561	56656168
1562	56697730
1563	56719747
1564	56786066
1565	56816917
1566	56816952
1567	56817536
1568	56829236
1569	56865797
1570	56866843
1571	56920734
1572	57034475
1573	57036935
1574	57040695
1575	57041286
1576	57056369
1577	57067584
1578	57123132
1579	57123377
1580	57131167
1581	57156285
1582	57156468
1583	57178149
1584	57234111
1585	57237350
1586	57242889
1587	57245746
1588	57249585
1589	57269733
1590	57275872
1591	57292536
1592	57293019
1593	57293355
1594	57304566
1595	57428368
1596	57428998
1597	57430426
1598	57527856
1599	57536052
1600	57581433
1601	57652877
1602	57655690
1603	57680644
1604	57684604
1605	57692039
1606	57711301
1607	57726550
1608	57729360
1609	57742447
1610	57744186
1611	57762278
1612	57764128
1613	57766076
1614	57774037
1615	57774117
1616	57775713
1617	57869271
1618	57892548
1619	58008684
1620	58065213
1621	58065981
1622	58068553
1623	58076380
1624	58107894
1625	58111844
1626	58113796
1627	58114215
1628	58135900
1629	58166571
1630	58176874
1631	58188681
1632	58193739
1633	58198970
1634	58199083
1635	58250186
1636	58258700
1637	58265130
1638	58295869
1639	58311198
1640	58383091
1641	58476215
1642	58583393
1643	58583712
1644	58607819
1645	58635565
1646	58636101
1647	58636250
1648	58654443
1649	58655227
1650	58657045
1651	58658073
1652	58669682
1653	58679579
1654	58687786
1655	58691005
1656	58692111
1657	58719016
1658	58720589
1659	58765698
1660	58821339
1661	58837338
1662	58852797
1663	58865967
1664	58869610
1665	58870065
1666	58872730
1667	58878641
1668	58879452
1669	58905974
1670	58906235
1671	58942074
1672	58957203
1673	58967362
1674	58967895
1675	58977253
1676	59016157
1677	59016685
1678	59041846
1679	59042020
1680	59191443
1681	59209603
1682	59211895
1683	59215256
1684	59228026
1685	59273602
1686	59294401
1687	59305537
1688	59308909
1689	59342483
1690	59342533
1691	59430719
1692	59499529
1693	59570817
1694	59688131
1695	59750302
1696	59765586
1697	59766635
1698	59787191
1699	59788748
1700	59790689
1701	59821620
1702	59822940
1703	59948832
1704	59950442
1705	59983535
1706	60018737
1707	60026151
1708	60026860
1709	60362776
1710	60393647
1711	60398689
1712	60403594
1713	60511245
1714	60519824
1715	60524130
1716	60611293
1717	60613581
1718	60633898
1719	60640621
1720	60642226
1721	60654187
1722	60692054
1723	60717645
1724	60719513
1725	60720787
1726	60727771
1727	60730729
1728	60773268
1729	60811643
1730	60812878
1731	60824955
1732	60826541
1733	60855008
1734	60969978
1735	61006371
1736	61012324
1737	61014301
1738	61031042
1739	61076611
1740	61082760
1741	61098729
1742	61101088
1743	61131645
1744	61139294
1745	61166212
1746	61214945
1747	61222790
1748	61234799
1749	61256391
1750	61289440
1751	61289640
1752	61348860
1753	61349542
1754	61400210
1755	61401328
1756	61446239
1757	61477113
1758	61495819
1759	61495853
1760	61496810
1761	61506382
1762	61508699
1763	61514407
1764	61517465
1765	61517858
1766	61527003
1767	61537741
1768	61546771
1769	61562166
1770	61569331
1771	61572314
1772	61575847
1773	61693746
1774	61721490
1775	61730495
1776	61732056
1777	61750018
1778	61751159
1779	61753329
1780	61773080
1781	61802797
1782	61817105
1783	61833974
1784	61834205
1785	61837744
1786	61850747
1787	61850976
1788	61864534
1789	61868061
1790	61926210
1791	61927036
1792	61956192
1793	61958885
1794	61958979
1795	61968407
1796	62080939
1797	62097693
1798	62098688
1799	62159887
1800	62205448
1801	62213778
1802	62219602
1803	62227102
1804	62242046
1805	62288720
1806	62293028
1807	62311259
1808	62364509
1809	62365677
1810	62368721
1811	62370929
1812	62371375
1813	62379531
1814	62383418
1815	62384811
1816	62388682
1817	62389702
1818	62391227
1819	62393546
1820	62425778
1821	62433326
1822	62435429
1823	62575741
1824	62585181
1825	62624679
1826	62629463
1827	62634468
1828	62634687
1829	62634988
1830	62636452
1831	62674905
1832	62695163
1833	62703314
1834	62707510
1835	62714190
1836	62714252
1837	62725108
1838	62730809
1839	62801570
1840	62863564
1841	62863831
1842	62864197
1843	62865512
1844	62868636
1845	62869055
1846	62876708
1847	62897953
1848	62901553
1849	62901816
1850	62926155
1851	62932608
1852	62947257
1853	62991137
1854	62991576
1855	62992773
1856	62994167
1857	63005825
1858	63074384
1859	63103203
1860	63112617
1861	63112763
1862	63116207
1863	63135041
1864	63152547
1865	63174634
1866	63187183
1867	63188211
1868	63188749
1869	63284007
1870	63299750
1871	63429869
1872	63477991
1873	63504050
1874	63505806
1875	63515687
1876	63576746
1877	63580438
1878	63581562
1879	63696883
1880	63698048
1881	63744722
1882	63758629
1883	63760947
1884	63762700
1885	63763386
1886	63782845
1887	63799137
1888	63823688
1889	63829196
1890	63873837
1891	63891109
1892	63891852
1893	63906038
1894	63909623
1895	63911153
1896	63916430
1897	64024379
1898	64031682
1899	64040533
1900	64043477
1901	64045277
1902	64048292
1903	64065266
1904	64098696
1905	64224403
1906	64228950
1907	64229203
1908	64242670
1909	64245264
1910	64245370
1911	64246016
1912	64266684
1913	64283079
1914	64349943
1915	64350103
1916	64352700
1917	64352978
1918	64353741
1919	64359426
1920	64366945
1921	64367136
1922	64369534
1923	64374728
1924	64375090
1925	64375744
1926	64383468
1927	64411143
1928	64411606
1929	64414963
1930	64448166
1931	64450270
1932	64501590
1933	64506775
1934	64534060
1935	64534592
1936	64580091
1937	64610426
1938	64617020
1939	64620848
1940	64645540
1941	64657778
1942	64670825
1943	64682864
1944	64686212
1945	64689931
1946	64719338
1947	64738995
1948	64774633
1949	64801081
1950	64803471
1951	64803844
1952	64861727
1953	64863343
1954	64907207
1955	64927646
1956	64928308
1957	64971285
1958	65095965
1959	65110538
1960	65110995
1961	65114513
1962	65118126
1963	65121203
1964	65123322
1965	65150584
1966	65152019
1967	65392194
1968	65409972
1969	65426653
1970	65458777
1971	65460495
1972	65514110
1973	65514862
1974	65516877
