k	smorfs
1	3812
2	7215
3	28477
4	31426
5	71457
6	73258
7	81981
8	98048
9	104043
10	106202
11	106262
12	108379
13	120012
14	123300
15	143178
16	151541
17	153413
18	163408
19	169073
20	169968
21	170974
22	176836
23	177010
24	181102
25	186291
26	216596
27	223328
28	226330
29	229575
30	231345
31	254599
32	259335
33	264593
34	269550
35	270876
36	271728
37	289708
38	316636
39	317158
40	323824
41	335355
42	342635
43	352341
44	352607
45	357544
46	365519
47	369159
48	388512
49	391886
50	405319
51	406170
52	408977
53	418277
54	446259
55	453827
56	475651
57	482490
58	483837
59	497967
60	500328
61	501142
62	507781
63	510211
64	520715
65	525208
66	549144
67	564408
68	569155
69	571220
70	586220
71	590290
72	629968
73	632491
74	661316
75	668474
76	670599
77	682011
78	684686
79	685188
80	688114
81	688236
82	701936
83	717201
84	728222
85	748275
86	750684
87	751293
88	754659
89	762558
90	798585
91	802927
92	819339
93	842966
94	848625
95	851390
96	861185
97	861655
98	863659
99	864785
100	877507
101	877733
102	877817
103	880003
104	881936
105	884913
106	885670
107	899075
108	899367
109	907182
110	910553
111	919682
112	921261
113	939995
114	944421
115	956528
116	956783
117	958732
118	959988
119	961446
120	963081
121	968851
122	969433
123	973259
124	986755
125	990023
126	990994
127	998849
128	999860
129	1000260
130	1003287
131	1011978
132	1013541
133	1015174
134	1030484
135	1032553
136	1033312
137	1034298
138	1034614
139	1042374
140	1048882
141	1067144
142	1067306
143	1077982
144	1081426
145	1096117
146	1096873
147	1102111
148	1103705
149	1112580
150	1146229
151	1151076
152	1186214
153	1195516
154	1196101
155	1196101
156	1208832
157	1211709
158	1220806
159	1250293
160	1258946
161	1270577
162	1272001
163	1273562
164	1290687
165	1328406
166	1330756
167	1352885
168	1358511
169	1371613
170	1380509
171	1384517
172	1386903
173	1401200
174	1402554
175	1451729
176	1458828
177	1478795
178	1481109
179	1483234
180	1491264
181	1497885
182	1520803
183	1521575
184	1530695
185	1530873
186	1548090
187	1557077
188	1571332
189	1572750
190	1576084
191	1593972
192	1595181
193	1598185
194	1614128
195	1616438
196	1619839
197	1643902
198	1644436
199	1644452
200	1646557
201	1647211
202	1651583
203	1655592
204	1658554
205	1668027
206	1671765
207	1672840
208	1682575
209	1683037
210	1702073
211	1707763
212	1731265
213	1748401
214	1748481
215	1749963
216	1750052
217	1775314
218	1779369
219	1779655
220	1783145
221	1783268
222	1789210
223	1797851
224	1804204
225	1804285
226	1835417
227	1843055
228	1861190
229	1863043
230	1864267
231	1876523
232	1896834
233	1899234
234	1905580
235	1925516
236	1926437
237	1933890
238	1941750
239	1943163
240	1944802
241	1946419
242	1947108
243	1970604
244	1990663
245	1996353
246	1997180
247	2000079
248	2002081
249	2017289
250	2017483
251	2018293
252	2050779
253	2052042
254	2063601
255	2071362
256	2074178
257	2092016
258	2094911
259	2095697
260	2097026
261	2097993
262	2099976
263	2108734
264	2110924
265	2125166
266	2136456
267	2138193
268	2149100
269	2153722
270	2172353
271	2185961
272	2192906
273	2198071
274	2214286
275	2227553
276	2239062
277	2240063
278	2245351
279	2248753
280	2277573
281	2282320
282	2283787
283	2286658
284	2290928
285	2290950
286	2291190
287	2292334
288	2322034
289	2349126
290	2360557
291	2361686
292	2374918
293	2387296
294	2389942
295	2390279
296	2407209
297	2422710
298	2424235
299	2443530
300	2445968
301	2446745
302	2447444
303	2467981
304	2474571
305	2475492
306	2506188
307	2512734
308	2514222
309	2514375
310	2522838
311	2544573
312	2544821
313	2576378
314	2580643
315	2583121
316	2593784
317	2598860
318	2599949
319	2601412
320	2601441
321	2605589
322	2613298
323	2618761
324	2619071
325	2620462
326	2620957
327	2621280
328	2623812
329	2630006
330	2630675
331	2648018
332	2653150
333	2676657
334	2677314
335	2677595
336	2707051
337	2716143
338	2721290
339	2737347
340	2742203
341	2746770
342	2766200
343	2767477
344	2789074
345	2789729
346	2790826
347	2819718
348	2820019
349	2824981
350	2829244
351	2835449
352	2835467
353	2854630
354	2874341
355	2874921
356	2875139
357	2905452
358	2908251
359	2912344
360	2912556
361	2931876
362	2937658
363	2938646
364	2938746
365	2940486
366	2950292
367	2981451
368	2983119
369	2983329
370	2986529
371	2987152
372	2996770
373	3001810
374	3011767
375	3039606
376	3050081
377	3050570
378	3051030
379	3057422
380	3083464
381	3086971
382	3096525
383	3103646
384	3105103
385	3105650
386	3106731
387	3110461
388	3111281
389	3123571
390	3124573
391	3133920
392	3149104
393	3149793
394	3159858
395	3160512
396	3170457
397	3178431
398	3193863
399	3209626
400	3209676
401	3214165
402	3236493
403	3240051
404	3243363
405	3243900
406	3249607
407	3259367
408	3276626
409	3284715
410	3286240
411	3291199
412	3304694
413	3305193
414	3308034
415	3310675
416	3323118
417	3326164
418	3329629
419	3340411
420	3343052
421	3343166
422	3346386
423	3346857
424	3347092
425	3347138
426	3349765
427	3353808
428	3354901
429	3362967
430	3368315
431	3369538
432	3370489
433	3376937
434	3378022
435	3378881
436	3382393
437	3401976
438	3402742
439	3415744
440	3416860
441	3420036
442	3425393
443	3430320
444	3431318
445	3437665
446	3443368
447	3452166
448	3452686
449	3480763
450	3482403
451	3482723
452	3488222
453	3489500
454	3506168
455	3508283
456	3529488
457	3549874
458	3552416
459	3552827
460	3557818
461	3563685
462	3564609
463	3565491
464	3565711
465	3579868
466	3581049
467	3584741
468	3588521
469	3590316
470	3591237
471	3592997
472	3595499
473	3599870
474	3601138
475	3601349
476	3604590
477	3605721
478	3607277
479	3615094
480	3616071
481	3620408
482	3620495
483	3638416
484	3638606
485	3641952
486	3647070
487	3647741
488	3648636
489	3659719
490	3660007
491	3661071
492	3670609
493	3678450
494	3690366
495	3690439
496	3704060
497	3706901
498	3707575
499	3725462
500	3729926
501	3732962
502	3734912
503	3738260
504	3739012
505	3742425
506	3742873
507	3758906
508	3760213
509	3765027
510	3777912
511	3786340
512	3786432
513	3788937
514	3789080
515	3789627
516	3822501
517	3823420
518	3824412
519	3825946
520	3827012
521	3842842
522	3857075
523	3857162
524	3864135
525	3866764
526	3867136
527	3869854
528	3871103
529	3881456
530	3882049
531	3899392
532	3908532
533	3921377
534	3934287
535	3934891
536	3938596
537	3947479
538	3950213
539	3952285
540	3955016
541	3955094
542	3963593
543	3967027
544	3969056
545	3982746
546	3983942
547	4003958
548	4021087
549	4026310
550	4027763
551	4032298
552	4039949
553	4040887
554	4040916
555	4041779
556	4044315
557	4045429
558	4046269
559	4046551
560	4053595
561	4054110
562	4061142
563	4079779
564	4080232
565	4080424
566	4101483
567	4106485
568	4115717
569	4118632
570	4137873
571	4151356
572	4154009
573	4164676
574	4165168
575	4165336
576	4192125
577	4195321
578	4206739
579	4210617
580	4230183
581	4230326
582	4232496
583	4245444
584	4251884
585	4252152
586	4259374
587	4260436
588	4261449
589	4264632
590	4265919
591	4273795
592	4279901
593	4282082
594	4284022
595	4291048
596	4291195
597	4292975
598	4293450
599	4297753
600	4304108
601	4304329
602	4314132
603	4323317
604	4324842
605	4335090
606	4349720
607	4361787
608	4362076
609	4364019
610	4364021
611	4373517
612	4373706
613	4373732
614	4374863
615	4376230
616	4377741
617	4390795
618	4404632
619	4423841
620	4427047
621	4443283
622	4464365
623	4468781
624	4470441
625	4471094
626	4472411
627	4472485
628	4479680
629	4495891
630	4498447
631	4505717
632	4505914
633	4516816
634	4519105
635	4530389
636	4550564
637	4551465
638	4558507
639	4568427
640	4568862
641	4572000
642	4575312
643	4577523
644	4577621
645	4588294
646	4600777
647	4603851
648	4606981
649	4609800
650	4610775
651	4611639
652	4611751
653	4616912
654	4619752
655	4621005
656	4621590
657	4628676
658	4629243
659	4660058
660	4683004
661	4683857
662	4684938
663	4691126
664	4691211
665	4692960
666	4693480
667	4694067
668	4694657
669	4704663
670	4706299
671	4707505
672	4707617
673	4718337
674	4740578
675	4742318
676	4742340
677	4742738
678	4744452
679	4753374
680	4754865
681	4758604
682	4759731
683	4762693
684	4774705
685	4777129
686	4777837
687	4787275
688	4788143
689	4791146
690	4792936
691	4797380
692	4817623
693	4819048
694	4823035
695	4824204
696	4826568
697	4827435
698	4843576
699	4847309
700	4851039
701	4860861
702	4861938
703	4865331
704	4866691
705	4878325
706	4880735
707	4900271
708	4900903
709	4902362
710	4906144
711	4907287
712	4907770
713	4929118
714	4940747
715	4946594
716	4947409
717	4961417
718	4974142
719	4974722
720	4975098
721	4975742
722	4983212
723	4990179
724	4991145
725	5016683
726	5038074
727	5038541
728	5039807
729	5047539
730	5049955
731	5051374
732	5051458
733	5051462
734	5068962
735	5070475
736	5082284
737	5105677
738	5123626
739	5124346
740	5139773
741	5140452
742	5141315
743	5142322
744	5146374
745	5159346
746	5167999
747	5170436
748	5171356
749	5171956
750	5173725
751	5173820
752	5175424
753	5175647
754	5188211
755	5191598
756	5192925
757	5194460
758	5199000
759	5208872
760	5212715
761	5226122
762	5230915
763	5234761
764	5234850
765	5236473
766	5238826
767	5245778
768	5263501
769	5279508
