k	smorfs
1	13376
2	17017
3	769267
4	771246
5	835367
6	915875
7	931728
8	963164
9	990593
10	1021393
11	1024236
12	1056621
13	1067311
14	1075958
15	1078474
16	1085135
17	1947971
18	2094115
19	2097593
20	2104907
21	2259936
22	2342444
23	2403232
24	2575554
25	3044286
26	3044365
27	3873488
28	4084917
29	4098507
30	4114096
31	4134878
32	4299091
33	4300352
34	4436798
35	4864776
36	5345439
37	5346012
38	5989458
39	5992243
40	6002609
41	6055117
42	6079604
43	6882776
44	7164186
45	7290661
46	7305795
47	7501234
48	7812233
49	7813269
50	7821052
51	7865678
52	7888179
53	7914401
54	7926942
55	8276044
56	8276571
57	8316220
58	8317896
59	8470194
60	8540119
61	8541241
62	8588263
63	8614026
64	8631336
65	8713299
66	8767931
67	9613817
68	9625785
69	9630552
70	9680733
71	9753318
72	9794214
73	10463934
74	11032785
75	11059017
76	11117214
77	11295008
78	11332166
79	11600527
80	11695363
81	11900354
82	12094936
83	12477910
84	12572445
85	12604840
86	12610307
87	12620282
88	12659169
89	12735431
90	12755994
91	12773255
92	12872255
93	13098575
94	13099330
95	13180763
96	13253985
97	13619785
98	13628164
99	13773062
100	14153556
101	14157317
102	14169191
103	14171843
104	14195165
105	14297553
106	14401536
107	14403097
108	14503802
109	14617198
110	14618841
111	14920202
112	14988501
113	15032304
114	15048078
115	15105533
116	15130890
117	15164503
118	15582445
119	15609810
120	15706925
121	15781836
122	15782169
123	16315495
124	16345161
125	16373621
126	16605158
127	16639913
128	16674959
129	16676650
130	16684235
131	16798857
132	16850378
133	16853231
134	16863805
135	16984418
136	17181758
137	17221948
138	17875715
139	17877109
140	17949711
141	18154970
142	18255806
143	18266335
144	18266945
145	18407424
146	18408235
147	18418669
148	18450216
149	18454897
150	18494469
151	18504160
152	18514251
153	18546412
154	18580711
155	18580725
156	18596712
157	18728759
158	18734092
159	18741087
160	19566711
161	19587850
162	19605263
163	19884639
164	20321548
165	20325521
166	20354676
167	20531595
168	20554515
169	20769894
170	20781304
171	20782482
172	21006597
173	21018662
174	21178743
175	21180231
176	21307525
177	21382236
178	21388194
179	21911699
180	22021514
181	22029148
182	22031864
183	22108791
184	22713581
185	22731572
186	22774762
187	22883312
188	23168763
