90AA family	phylum	smorf
GMSC10.90AA.000_287_924_202	p__Actinobacteriota	303
GMSC10.90AA.000_287_924_202	p__Dormibacterota	41
GMSC10.90AA.000_287_924_202	p__Proteobacteria	111
GMSC10.90AA.000_287_924_202	p__Verrucomicrobiota	1
GMSC10.90AA.000_287_926_092	p__Bacteroidota	661
GMSC10.90AA.000_287_926_092	p__Chloroflexota	1
GMSC10.90AA.000_287_926_092	p__Firmicutes_A	1
GMSC10.90AA.000_287_926_092	p__Verrucomicrobiota_A	1
GMSC10.90AA.000_287_926_530	p__Acidobacteriota	1
GMSC10.90AA.000_287_926_530	p__Planctomycetota	1
GMSC10.90AA.000_287_926_530	p__Proteobacteria	737
GMSC10.90AA.000_287_926_744	p__Actinobacteriota	30
GMSC10.90AA.000_287_926_744	p__Bacteroidota	169
GMSC10.90AA.000_287_926_744	p__Firmicutes	68
GMSC10.90AA.000_287_926_744	p__Firmicutes_A	770
GMSC10.90AA.000_287_926_744	p__Firmicutes_C	10
GMSC10.90AA.000_287_926_744	p__Fusobacteriota	1
GMSC10.90AA.000_287_926_744	p__Proteobacteria	2
GMSC10.90AA.000_287_926_744	p__Spirochaetota	17
GMSC10.90AA.000_287_926_804	p__Acidobacteriota	15
GMSC10.90AA.000_287_926_804	p__Eisenbacteria	2
GMSC10.90AA.000_287_926_804	p__Myxococcota	1
GMSC10.90AA.000_287_926_804	p__Patescibacteria	1
GMSC10.90AA.000_287_926_804	p__Planctomycetota	1
GMSC10.90AA.000_287_926_804	p__Proteobacteria	1066
GMSC10.90AA.000_287_926_804	p__Verrucomicrobiota	5
GMSC10.90AA.000_287_926_822	p__Methylomirabilota	1
GMSC10.90AA.000_287_926_822	p__Patescibacteria	1
GMSC10.90AA.000_287_926_822	p__Proteobacteria	996
GMSC10.90AA.000_287_926_824	p__Acidobacteriota	1
GMSC10.90AA.000_287_926_824	p__Actinobacteriota	16
GMSC10.90AA.000_287_926_824	p__Bacteroidota	15
GMSC10.90AA.000_287_926_824	p__Cyanobacteria	1
GMSC10.90AA.000_287_926_824	p__Desulfobacterota	5
GMSC10.90AA.000_287_926_824	p__Elusimicrobiota	6
GMSC10.90AA.000_287_926_824	p__Firmicutes	26
GMSC10.90AA.000_287_926_824	p__Firmicutes_A	308
GMSC10.90AA.000_287_926_824	p__Firmicutes_C	1
GMSC10.90AA.000_287_926_824	p__Methanobacteriota	3
GMSC10.90AA.000_287_926_824	p__Myxococcota	2
GMSC10.90AA.000_287_926_824	p__Planctomycetota	1
GMSC10.90AA.000_287_926_824	p__Proteobacteria	1
GMSC10.90AA.000_287_926_824	p__Spirochaetota	1
GMSC10.90AA.000_287_926_824	p__Synergistota	4
GMSC10.90AA.000_287_926_824	p__Verrucomicrobiota	8
GMSC10.90AA.000_287_926_824	p__Wallbacteria	2
GMSC10.90AA.000_287_926_836	p__Actinobacteriota	19
GMSC10.90AA.000_287_926_836	p__Desulfobacterota	5
GMSC10.90AA.000_287_926_836	p__Firmicutes	7
GMSC10.90AA.000_287_926_836	p__Firmicutes_A	721
GMSC10.90AA.000_287_926_836	p__Firmicutes_B	1
GMSC10.90AA.000_287_926_836	p__Firmicutes_C	22
GMSC10.90AA.000_287_926_836	p__Proteobacteria	2
GMSC10.90AA.000_287_926_836	p__Synergistota	2
GMSC10.90AA.000_287_926_841	p__Acidobacteriota	1
GMSC10.90AA.000_287_926_841	p__Proteobacteria	1949
GMSC10.90AA.000_287_926_849	p__Firmicutes_A	999
GMSC10.90AA.000_287_926_849	p__Firmicutes_C	1
GMSC10.90AA.000_287_926_856	p__Bacteroidota	2
GMSC10.90AA.000_287_926_856	p__Fibrobacterota	2
GMSC10.90AA.000_287_926_856	p__Firmicutes	22
GMSC10.90AA.000_287_926_856	p__Firmicutes_A	1502
GMSC10.90AA.000_287_926_856	p__Firmicutes_B	5
GMSC10.90AA.000_287_926_856	p__Firmicutes_C	13
GMSC10.90AA.000_287_926_856	p__Proteobacteria	1
GMSC10.90AA.000_287_926_856	p__Riflebacteria	2
GMSC10.90AA.000_287_926_856	p__UBP6	1
GMSC10.90AA.000_287_926_862	p__Actinobacteriota	107
GMSC10.90AA.000_287_926_862	p__Bacteroidota	7
GMSC10.90AA.000_287_926_862	p__Firmicutes	13
GMSC10.90AA.000_287_926_862	p__Firmicutes_A	767
GMSC10.90AA.000_287_926_862	p__Firmicutes_C	7
GMSC10.90AA.000_287_926_862	p__Myxococcota	1
GMSC10.90AA.000_287_926_862	p__Proteobacteria	6
GMSC10.90AA.000_287_926_862	p__Spirochaetota	4
GMSC10.90AA.000_287_926_862	p__Verrucomicrobiota	1
GMSC10.90AA.000_287_926_864	p__Firmicutes	4
GMSC10.90AA.000_287_926_864	p__Firmicutes_A	1058
GMSC10.90AA.000_287_926_867	p__Bacteroidota	17
GMSC10.90AA.000_287_926_867	p__Firmicutes_A	1
GMSC10.90AA.000_287_926_867	p__Patescibacteria	1
GMSC10.90AA.000_287_926_867	p__Proteobacteria	1867
GMSC10.90AA.000_287_926_868	p__Firmicutes	4
GMSC10.90AA.000_287_926_868	p__Firmicutes_A	1614
